[180:00] 因為它是量飯店
[181:42] 是我們的綠咖哩的口味
[181:43] 然後我們裡面還有什麼
[181:45] 還有我們的海鮮白湯
[181:46] 海鮮白湯大家都很喜歡
[181:48] 也是百年
[181:48] 它裡面本身是鮮蝦的風味
[181:50] 然後裡面還有什麼
[181:51] 它裡面有濃郁的豚骨
[181:53] 我看
[181:54] 吃下去很順口
[181:55] 我們上次有泡
[181:56] 我知道我有吃過
[181:57] 海鮮白湯超好吃
[182:00] 那我們今天打開就是家裡
[182:01] 什麼口味都會有
[182:02] 今天還有什麼
[182:03] 還有蛋糕的
[182:05] 蛋糕我跟你講
[182:06] 蛋糕它這裡面是那種芝麻
[182:08] 有一種芝麻的麻香的芝麻
[182:10] 然後還有我們的味噌的
[182:11] 濃郁
[182:12] 它是那種味噌加芝麻
[182:13] 那種比較濃郁的那種湯頭
[182:15] 就是如果你今天就是來一晚
[182:17] 我跟你講
[182:18] 真的很好吃
[182:18] 其實每個都很好
[182:19] 接著還有一個
[182:21] 最經典最經典
[182:23] 聽看好了囉
[182:24] 有我們的玉子春玉
[182:26] 它是監獄的湯底
[182:28] 然後本身裡面是有那種
[182:29] 雞蛋的蛋絲在裡面
[182:31] 所以大家都知道
[182:32] 那個我們今天要吃的7
[182:34] 最經典的就是這一個
[182:36] 它裡面是蛋花湯的感覺
[182:37] 對 就是有那種
[182:38] 玉子它的底是那種海鮮鮮甜
[182:40] 然後裡面還有蛋花
[182:41] 在裡面蛋絲一條一條的
[182:43] 就是最日式最日式的
[182:44] 來今天做的它怎樣
[182:46] 為什麼大家都要買這一款的
[182:48] 你看哦
[182:48] 今天它配的是什麼
[182:49] 它今天配的是那種冬粉的
[182:51] 米粉米粉米粉冬粉
[182:53] 米粉春雨冬粉
[182:54] 這個叫冬粉
[182:56] 來它今天你這樣一碗
[182:58] 只要八十卡路里
[183:01] 八十卡路里沒聽錯
[183:03] 今天你回到家天氣
[183:05] 天氣就是這些沒有進
[183:06] 今天回到家已經很累了
[183:08] 然後你還要
[183:09] 還要那個
[183:09] 我剛才稍講一個味道
[183:10] 還有一個是那個我們的法式洋蔥
[183:12] 法式洋蔥
[183:14] 來你今天回家很累很累
[183:16] 你還沒辦法開貨了嗎
[183:18] 你今天準備一碗水熱水
[183:21] 來180ml熱水
[183:22] 加一包我們的麵條
[183:24] 春雨再加一包你要的
[183:26] 今天選要選一種口味
[183:27] 蔥泡三分鐘就做好了一碗
[183:30] 就做好一碗了
[183:31] 然後裡面完全不含人工的防腐劑
[183:33] 適合真的是如果你今天
[183:35] 是真的是辦公的小點心
[183:37] 午餐 宵夜啊
[183:39] 蔥蔥都可以
[183:40] 這是減肥
[183:40] 你今天減肥想要有一點飽足感
[183:42] 再又爬卡路里爆掉的話
[183:44] 這款都很推薦
[183:46] 校前的話今天是
[183:47] 二零二七年的七月
[183:49] 二零二七年的七月
[183:50] 所以這個裡面等於就是
[183:52] 三十包
[183:54] 那卡路里的話
[183:55] 最高是八十
[183:56] 現在是有些比較特別低的
[183:58] 像是我們的法式洋蔥
[183:59] 它也只有五十二卡路里
[184:00] 所以如果今天
[184:01] 我們今天總共六種味道
[184:02] 只要控管體重的
[184:04] 川嶼最近爆紅第一次好吃
[184:06] 它是日本居然研發的
[184:08] 因為它是卡路里很低
[184:09] 好不好
[184:10] 來 今天要的朋友
[184:12] 三十包
[184:13] 因為它沒有附碗
[184:14] 所以非常划算
[184:15] 那你如果想要買那個碗麵的
[184:17] 我們明天晚上CVK日本也會有
[184:20] 後面皮卡丘也是泡麵還沒
[184:21] 還沒
[184:22] 來 這個要的A37加1
[184:25] A37加1裡面有三十包
[184:29] 好不好
[184:29] 來 今天要的朋友
[184:31] 今天商城價六百九
[184:33] 六百九
[184:34] 線上罕擔的朋友
[184:36] 今天給大家超狂的價格
[184:40] 五百八十塊帶回家
[184:43] 五百八 三十碗
[184:45] 五百八
[184:47] 三十碗
[184:48] 請問一下
[184:49] 十九塊
[184:51] 好不好
[184:52] 阿碗自己準備
[184:53] 因為我記得村嶼的泡麵
[184:55] 東粉什麼
[184:56] 一碗也要幾十塊
[184:58] 好不好
[184:58] 我們今天賣你到
[185:00] 賣你到一碗
[185:02] 二十塊都不用
[185:03] 好不好
[185:04] 阿姨是一袋直接
[185:05] 有一種六種口味
[185:06] 一個五包 三十包
[185:09] 好不好
[185:10] 三十包
[185:11] 不愛人工防腐劑
[185:12] 你只要沖泡加
[185:13] 一百八十度的熱水三分鐘
[185:15] 就可以來一個
[185:17] 好吃的村嶼泉系列
[185:19] 好不好
[185:19] 線上罕擔的朋友
[185:21] 五百八
[185:22] 五百八真的超便宜
[185:24] 真的
[185:24] 好不好
[185:25] 五百八真的超便宜
[185:26] 村嶼真的是
[185:27] 這幾年在日本非常爆紅
[185:30] 好不好
[185:31] 非常爆紅
[185:32] 然後卡路里都很低
[185:34] 我看這邊有那種
[185:35] 酸辣湯材五十八卡
[185:37] 海鮮白湯材六十九卡
[185:39] 好不好
[185:40] 然後有些材五十二卡
[185:42] 五十六卡
[185:44] 卡路里都非常低
[185:45] 好不好
[185:46] 卡路里都非常低
[185:47] 所以呢
[185:47] 想要來一個
[185:48] 沒有罪惡感的宵夜
[185:51] 就是可以買這一包回去
[185:52] 好不好
[185:53] 來
[185:54] 對啊
[185:54] 單身被人們有碗
[185:55] 你又要買碗裝的
[185:57] 就是明天我們一樣會賣
[185:59] 碗裝的好不好
[186:00] 來
[186:00] A37加一
[186:01] 線上價五百八十塊
[186:03] 八十塊
[186:05] 要的自己加了
[186:06] 好不好
[186:06] 線上價五百八十塊
[186:08] 來
[186:08] 再來這個應該沒有人不知道吧
[186:11] 這個呢
[186:12] 跟一樣跟我們剛剛賣的那個
[186:13] 快樂先輩
[186:15] 快樂先輩一樣是
[186:16] 歸田出品的
[186:17] 所以你們要幫我找一下
[186:18] 他走掉了
[186:19] 好
[186:19] 一樣是歸田出品
[186:20] 我要給你後五碼嗎
[186:24] 後五碼
[186:25] 二
[186:26] 二五二九二碼
[186:27] 你們最後一碼會看嗎
[186:29] 二二五二九還是二五二九二
[186:32] 然後這個樣是
[186:33] 米果好不好
[186:35] 一樣是米果
[186:36] 這個應該大家有看到
[186:37] 這是日本超紅的
[186:38] 而且是經典款
[186:39] 經典款
[186:40] 然後一樣他是做一個
[186:42] 六十週年限定
[186:43] 六十週年限定
[186:45] 然後這裡面呢
[186:46] 他是一袋六十三顆
[186:48] 裡面有二十四袋
[186:49] 好不好
[186:50] 裡面有二十
[186:51] 再幫你看一下
[186:52] 好來
[186:52] 等我一下
[186:53] 好
[186:54] 這個是二五二九二
[186:56] 二五二九二
[186:57] 來
[186:57] 它裡面要是很好吃的米果
[187:00] 然後呢
[187:00] 裡面有
[187:01] 二十四袋
[187:02] 好不好
[187:03] 裡面有二十四袋
[187:04] 然後一袋是六十三顆
[187:06] 好不好
[187:06] 一袋是六十三顆
[187:07] 這個幫我問你有沒有打開的
[187:09] 好
[187:12] 然後一樣是龜田出品
[187:14] 龜田他們家的那個
[187:15] 就是做米果非常有名
[187:17] 好不好
[187:17] 做米果非常有名
[187:19] 裡面有二十四包
[187:21] 裡面有二十四包獨立包裝
[187:23] 清華弟弟可以買泡麵姊姊
[187:25] 什麼意思
[187:26] 看不懂
[187:26] 有辣嗎
[187:27] 你是說剛剛春雨嗎
[187:28] 春雨我記得
[187:29] 好像有些口味有辣
[187:31] 好不好
[187:31] 春雨我記得好像有些口味有辣
[187:34] 來
[187:34] 這個我等一下拆給你們看
[187:36] 好不好
[187:36] 拆給你們看
[187:37] 然後等等
[187:41] 找不到嗎
[187:43] 我記得我們現在
[187:43] 中午不是有做
[187:46] 你是說春雨
[187:47] 春雨那個幫我看
[187:48] 查一下會不會辣
[187:51] 它這個沒有資料是不是
[187:52] 對
[187:53] 沒有資料
[187:54] 那我這個先等一下
[187:55] 因為我們這邊沒有相關資料
[187:57] 沒有價格
[187:57] 我等一下再幫你們出
[187:59] 來
[187:59] 再來我先出別的
[188:01] 你們想要剛剛那個龜田的米果
[188:03] 你們再幫我等一下
[188:04] 春雨都不會辣
[188:07] 只是來剛剛春雨都不會辣
[188:09] 好不好
[188:09] 春雨都不會辣
[188:10] 那我們先來這個
[188:11] 這應該是巧克力派吧
[188:12] 看起來好可愛哦
[188:14] 有沒有
[188:14] 頭子在比讚
[188:15] 好不好
[188:16] 來
[188:17] 這個呢
[188:17] 我看一下
[188:20] 94834
[188:24] 來
[188:24] 這個是巧克力餅乾
[188:26] 裡面有27小袋
[188:28] 好不好
[188:29] 有27小袋
[188:30] 獨立包
[188:31] 我把它直接打開了
[188:32] 裡面有27小袋
[188:35] 好了
[188:35] 刀片割
[188:36] 春雨不會辣對不對
[188:37] 不會辣都不會辣
[188:38] 它剛剛那個找不到
[188:40] 你先協助剛剛那個
[188:41] 94834
[188:42] 那個剛剛找不到
[188:44] 是不同的圖案
[188:52] 好不好
[188:53] 每一包都是不同圖案
[188:54] 很可愛
[188:55] 你看好幾種哦
[188:57] 好不好
[188:57] 好幾種
[188:58] 然後裡面有
[189:00] 我看一下
[189:00] 裡面有27包
[189:02] 裡面有27包
[189:03] 裡面有27包
[189:04] 很可愛
[189:05] 你看
[189:05] 然後我打開來看一下
[189:08] 然後一包裡面哦
[189:09] 有盤子嗎
[189:12] 一包裡面有很多個哦
[189:14] 好不好
[189:15] 一包裡面有很多個哦
[189:16] 它是巧克力餅乾
[189:18] 好不好
[189:18] 巧克力餅乾
[189:19] 來我倒出來給你們看一下
[189:21] 它是巧克力加牛奶風味
[189:23] 然後再加酥脆的餅乾
[189:26] 然後呢
[189:27] 巧克力上面每一個一樣
[189:28] 都有猴子的圖案
[189:30] 然後有寫一些日文字
[189:32] 有寫一些日文字
[189:34] 很可愛很可愛
[189:35] 然後看一下
[189:36] 哦
[189:37] 然後餅乾是那種
[189:38] 你們吃過那個口糧餅乾嗎
[189:40] 它的餅乾就是那種
[189:42] 台灣的那種口糧餅乾
[189:43] 然後上面有很多
[189:45] 很可愛的趣味表情啦
[189:46] 很可愛的日文文字
[189:48] 它叫巧克力智郎
[189:49] 巧克力智郎
[189:50] 它是一個IP授權人物對不對
[189:52] 很好吃耶
[189:55] 接下來就是那個
[189:56] 巧克力加好吃的脆餅
[189:59] 好不好
[190:00] 夾好吃的脆餅
[190:02] 來
[190:02] 然後呢
[190:03] 裡面有27小袋
[190:06] 27小袋
[190:07] 很好吃耶
[190:08] 這個如果
[190:09] 喜歡吃巧克力的
[190:10] 會很喜歡
[190:12] 來
[190:12] 今天要的朋友
[190:13] 然後笑起
[190:14] 我幫你看一下
[190:15] 笑起到
[190:16] 27年的7月
[190:19] 然後有
[190:20] 我們剛剛聊幾袋
[190:21] 27小袋
[190:23] 好不好
[190:24] 27小袋
[190:25] 來
[190:26] 今天喜歡這個
[190:27] 巧克力碎餅的
[190:28] 然後喜歡吃巧克力
[190:29] 喜歡吃那種口糧餅乾的
[190:30] 結合在一起的
[190:31] 非常非常好吃的
[190:33] 巧克力很甜嗎
[190:34] 我覺得
[190:35] 還好
[190:35] 因為你知道嗎
[190:36] 它這樣小小一個
[190:38] 小小一個
[190:39] 結合這個口糧餅乾
[190:41] 中和它的甜度
[190:42] 我個人是覺得還好
[190:43] 來
[190:44] 然後我覺得那個餅乾
[190:45] 酥酥脆脆的很好吃
[190:46] 而且重點是
[190:47] 上面有可愛的日本製
[190:49] 後面一樣有可愛的圖案
[190:51] 來
[190:51] 今天要的朋友
[190:52] 關鍵字是A38加1
[190:54] 一袋27小包
[190:55] 一樣放在自己的包包裡面
[190:57] 給小朋友帶去
[190:58] 學校張點心
[191:00] 都很方便
[191:01] 來
[191:01] 今天要的朋友
[191:02] A38加1
[191:03] 今天給大家一袋
[191:05] 三層架
[191:06] 690
[191:07] 現仗架
[191:08] 590塊帶回家
[191:09] 590塊
[191:11] 然後裡面有
[191:12] 27小袋
[191:13] 對
[191:14] 27小袋
[191:15] 一袋21塊而已
[191:17] 好不好
[191:18] 一小袋
[191:19] 才21塊
[191:21] 好不好
[191:21] 一小袋才21塊
[191:23] 包裝好可愛
[191:23] 每一個裡面的包裝
[191:25] 有很多種
[191:26] 好不好
[191:26] 有很多種
[191:27] 有
[191:28] 我看一下
[191:29] 小袋是24克
[191:31] 然後標準裡面會有6顆
[191:33] 好不好
[191:34] 裡面有6顆
[191:34] 所以我看
[191:35] 24乘以6顆
[191:37] 我看一下
[191:38] 27包乘以6顆
[191:41] 裡面會有162顆餅乾
[191:44] 好不好
[191:44] 162顆餅乾
[191:45] 然後我現場吃
[191:46] 我是覺得很好吃
[191:48] 好不好
[191:48] 我現場吃
[191:48] 是覺得很好吃
[191:49] 來
[191:50] 這個要的自己加了
[191:51] 關鍵字是A38加1
[191:54] 有回來了
[191:56] 現在還回來了
[191:57] OK嗎
[191:59] 等一下我看一下
[192:01] 等等喔
[192:07] 有
[192:07] 他的本來
[192:09] 有回來了
[192:09] 來 OK了嗎
[192:10] 剛剛網路有點卡卡的
[192:12] 現在應該好了
[192:14] 來
[192:14] 你們要A38的
[192:15] 先繼續喊好不好
[192:16] 要A38的繼續喊
[192:18] 然後要A38的繼續喊
[192:20] 來
[192:20] 應該現在比較好了
[192:21] 剛剛網路卡卡的好不好
[192:23] 現在應該比較好了
[192:24] 剛剛網路卡卡的
[192:26] 來
[192:26] 再來喔
[192:28] 我們這個皮卡丘的泡麵
[192:29] 要泡嗎
[192:33] 它裡面有那個嗎
[192:34] 跟皮卡丘相關嗎
[192:36] 對啊
[192:36] 魚板
[192:36] 應該是我們之前賣的那一款
[192:38] 喔
[192:39] 裡面有皮卡丘的魚板
[192:41] 應該是同一款的
[192:43] 好
[192:44] 但是這裡有圖
[192:48] 來
[192:49] OK了嗎
[192:49] 你們OK
[192:50] 網路OK
[192:50] 幫我刷一排OK
[192:52] 好不好
[192:52] 我看一下
[192:52] 大家是不是都順了
[192:53] 我們再繼續
[192:54] 齁
[192:56] 網路OK的
[192:57] 幫我打OK
[192:58] 好不好
[192:59] 網路OK的
[193:00] 幫我打OK
[193:01] 來
[193:02] 我們先看一下
[193:02] 是不是大家網路都好了
[193:04] OK
[193:04] 幫我打OK
[193:05] 我看一下是不是
[193:06] 因為剛剛有點卡住
[193:08] 我們看一下是
[193:08] 大家都
[193:09] 現在網路都OK
[193:10] 我們再繼續
[193:13] 來
[193:13] 網路OK
[193:14] 幫我打OK喔
[193:15] 網路OK
[193:17] 網路OK
[193:17] 幫我打OK
[193:18] 我看一下
[193:19] 是不是大家現在都順了
[193:21] 好不好
[193:21] 我看一下
[193:21] 是不是大家現在都順了
[193:26] 我看大家應該都OK了
[193:27] 好不好
[193:28] 大家應該都OK了
[193:30] 來
[193:30] 這個呢
[193:31] 是那個寶可夢聯名
[193:33] 好不好
[193:34] 皮卡丘寶可夢聯名的泡麵
[193:36] 好不好
[193:37] 聯名的泡麵
[193:37] 然後呢
[193:38] 一箱裡面是12
[193:40] 12
[193:41] 12個
[193:42] 好不好
[193:43] 12個
[193:43] 然後裡面可能會有
[193:45] 三種土豹對不對
[193:47] 杯麵杯麵
[193:48] 杯麵有三種不同的土豹
[193:50] 三種土豹
[193:51] 然後會有寶可夢
[193:53] 寶可夢
[193:54] 然後皮卡丘
[193:55] 然後跟這個烏布嗎
[193:57] 衣布
[193:58] 啊衣布
[193:59] 衣布衣布
[194:00] 衣布衣布
[194:01] 衣布很可愛
[194:02] 會有衣布好不好
[194:03] 然後魚板裡面
[194:05] 就是我們的那個
[194:06] 寶可夢
[194:07] 魚板都是皮卡丘嗎
[194:09] 魚板
[194:10] 我看有造型
[194:11] 然後它就是
[194:12] 皮卡丘的魚板
[194:13] 這個是衣布的魚板
[194:14] 衣布的魚板
[194:15] 然後上面
[194:16] 他說裡面會有閃亮貼紙
[194:18] 他說每一個杯麵裡面
[194:19] 都會有閃亮貼紙
[194:21] 有嗎
[194:21] 閃亮貼紙
[194:22] 就是
[194:23] 應該是我覺得是還可以隨附的
[194:25] 什麼叫隨附
[194:26] 就是
[194:28] 我找找看
[194:29] 好
[194:29] 那應該叫我隨便
[194:31] 那我拆一個寶可夢的看一下好了
[194:34] 可以嗎
[194:34] 可以啊
[194:35] 我們拆一個好了
[194:36] 好
[194:37] 來我拆一個寶可夢的現場
[194:38] 我們來拆一個打開
[194:39] 看一下裡面長什麼樣子
[194:41] 好
[194:41] 然後一樣是
[194:43] 小小小小小的杯麵好不好
[194:45] 這個是泡麵
[194:45] 它是又卡了
[194:47] 一連他們
[194:49] 來過標可以直播回放喊單
[194:53] 這個是三十週年限定
[194:56] 對好不好
[194:56] 三十週年限定
[195:00] 所以要打開一個看看嗎
[195:02] 好
[195:04] 那他們說又卡了
[195:05] 到底有沒有卡
[195:06] 我們現在換一下
[195:07] 換了
[195:07] 所以要等嗎
[195:09] 要下一順的
[195:10] 下一順的
[195:11] 來我們打開
[195:12] 我打開打開一個給你們看裡面
[195:14] 好了好不好
[195:15] 他的
[195:16] 他的是一個小型的杯麵
[195:18] 小杯麵
[195:19] 然後呢
[195:20] 我們今天有兩款有包
[195:22] 那個皮卡丘的跟那個衣布
[195:24] 好不好
[195:25] 跟衣布的
[195:25] 啊這個大人吃小朋友吃都可以
[195:27] 大人如果你不想要太有罪惡感
[195:29] 他們又說順了又卡卡
[195:32] 沒有現在去順了
[195:34] 現在對我剛切換了
[195:37] 哎呦啦裡面真的有貼好可愛哦
[195:41] 好可愛哦
[195:42] 你們看得到嗎
[195:43] 來
[195:44] 我們沒有打開過
[195:47] 他裡面呢
[195:48] 皮卡他這個玉米泡玉米泡麵
[195:51] 好不好玉米口味的泡麵
[195:52] 所以大人跟小孩都會很喜歡
[195:55] 然後裡面都會附一張隨機的貼紙
[195:57] 給你哦
[195:58] 然後魚板的部分呢
[196:00] 皮卡丘就是皮卡丘
[196:02] 一部就是一部
[196:03] 好不好一部就是一部
[196:05] 然後一箱裡面會有十二路
[196:07] 然後他的杯麵的包裝會有三種
[196:09] 對會有三種哦
[196:10] 杯麵的包裝會有三種哦
[196:12] 又好吃又好看好不好
[196:14] 來過標去哪裡加單來
[196:16] 陳胖軒心沒有先幫我加入bip社群
[196:19] 好不好心沒有先幫我加入bip社群
[196:21] 加入之後呢
[196:22] 裡面有新朋友的購物金可以領取
[196:25] 然後呢
[196:25] 裡面小包手會告訴你說過標去哪裡加單
[196:28] 你先幫我點擊加入bip社群
[196:30] 然後再跟著喊單好不好
[196:31] 對真好吃大人小孩都會很喜歡
[196:34] 哦然後呢
[196:35] 各有三種
[196:36] 裡面的背面就是各有三種包裝
[196:39] 好不好哦
[196:39] 那今天這一標呢是A39
[196:42] 那一總共一箱都是十二路好不好
[196:46] 一箱都是十二路
[196:47] 那你們可以A39加1或A39加2
[196:50] 到時候自己去購物車選好不好
[196:53] 去購物車選
[196:54] 哦你等一下幫忙剝喉嚨開始很痛
[196:57] 好不好來這個裡面是十二路
[196:59] 哦我們就講這個杯麵
[197:01] 哦如果我們單賣一碗五十九塊
[197:03] 十二路也要七八百塊吧
[197:05] 好不好來今天要的朋友
[197:07] 哦寶可夢三十週年聯名的
[197:10] 三十週年聯名的
[197:11] 然後這個皮卡就是玉米口味
[197:14] 一部也是醬油口味醬油啊
[197:17] 裡面有玉米
[197:18] 一部的話是海鮮口味
[197:20] 一部是海鮮
[197:21] 所以其實兩種小小孩
[197:24] 猜起來小人
[197:26] 兩種大人小孩都可以
[197:28] 就因為兩種都不會辣好不好
[197:30] 兩種都不會辣
[197:31] 哦啊裡面都會有負貼紙給大家
[197:33] 來今天要的朋友
[197:35] A39加1或A39加2
[197:37] 看你們自己要幾箱自己加
[197:39] 然後笑起我幫你們看一下
[197:42] 笑起到二七年的二月
[197:45] 一月或二月好不好
[197:47] 二七年的一月或二月
[197:48] 來今天要的朋友
[197:50] A39加你要的數量
[197:51] 看你要加一箱加兩箱或者你啊
[197:54] 哎吃很快要自己多加
[197:55] 小朋友很喜歡寶可夢的
[197:57] 來今天給大家
[197:59] 七百九也不用了好不好
[198:01] 來今天給大家
[198:03] 商城價
[198:05] 六百九線上價
[198:07] 666帶回家
[198:08] 66666612碗哦
[198:12] 66612碗
[198:13] 一碗給你們55塊
[198:15] 可以拿回去寶可夢
[198:16] 30週年聯名
[198:17] 來為大家講一次
[198:18] 皮卡丘是雞肉醬油雞肉
[198:21] 然後我現在打開它裡面有這個玉米
[198:23] 好不好
[198:24] 醬油雞肉然後裡面有玉米
[198:26] 然後它是那個給你們看一下
[198:28] 那個皮卡丘的魚板
[198:30] 那我們的這個
[198:32] 一部好不好
[198:33] 一部是海鮮口味的
[198:35] 一部是海鮮口味的
[198:36] 然後一部的魚板
[198:38] 就是一部好不好
[198:40] 一部的魚板裡面就是一部
[198:42] 兩個口味都是不會辣的
[198:43] 然後大人小朋友都可以吃
[198:46] 今天線上寒單只要666
[198:48] 好不好
[198:48] 現在很大只要666
[198:50] 這種期間限定的
[198:52] 就是數量有限哦
[198:54] 你們要的要趕快講
[198:55] 因為我們之前有賣那個
[198:56] 史努比聯名的
[198:58] 但是他期間限定過了之後
[199:00] 他就買不到了
[199:01] 好不好
[199:01] 他就買不到了
[199:02] 來這個剛有人一直在問的
[199:04] 就先出給大家
[199:05] 寶可夢系列的
[199:07] 現在他在裡面很可愛耶
[199:09] 然後一杯
[199:10] 一杯我幫你們看一下
[199:11] 一杯是
[199:12] 他就小小的啦
[199:13] 三十八克
[199:15] 所以你今天大人吃
[199:16] 也不會有那個負擔
[199:17] 小朋友吃也很剛好
[199:18] 他這也是我賣了很多次
[199:19] 然後我們第一次
[199:20] 把他打開給大家看
[199:21] 裡面真的是
[199:22] 難怪甜粉已經許願
[199:23] 對很可愛
[199:24] 一打開裡面真的直接發瘋
[199:26] 今天現在只要666
[199:28] 這次666是幾碗啊
[199:30] 12碗
[199:31] 12碗帶666
[199:32] 太便宜了
[199:33] 我跟你講
[199:34] 他這就專為小朋友設計啦
[199:35] 所以其實小朋友吃真的很安心
[199:37] 安心
[199:38] 我們可以自己多在幾五季
[199:40] 幾項回去
[199:40] 然後這
[199:41] 先令人保轉
[199:42] 先令人保轉
[199:43] 你們自己把握機會
[199:44] 嗯
[199:45] 哎對
[199:46] 他這也是大頭
[199:47] 鐵板說很好吃哦
[199:49] 他這些大頭包裝不太一樣
[199:51] 嗯
[199:52] 沒錯
[199:53] 他是寶可夢聯名的
[199:54] 30
[199:55] 還是說他是周年哎
[199:56] 寶可夢30周年的寶瓶
[199:57] 他後面有寫
[199:58] 還是寶可夢
[199:59] 大家現在都在周年了
