[120:00] 減少呢
[124:22] 今天我們在家裡有10片
[124:24] 會有10片
[124:24] 校情可以到11月
[124:26] 2012年的時候
[124:26] 那你們至少更新這樣
[124:28] 2026年10月
[124:29] 來
[124:29] 這個是A26標好不好
[124:31] A26標
[124:32] 小小一盒很可愛
[124:33] 小小一盒很精緻
[124:35] 來
[124:35] A26加1
[124:36] 裡面有10片
[124:37] 裡面有10片
[124:38] 來
[124:39] 你吃啊
[124:39] 很好吃
[124:39] 吃好
[124:41] 那我吃了怎麼開架
[124:42] 超好吃
[124:42] 來你開
[124:43] 來
[124:43] 今天一直在
[124:44] 來
[124:45] 沒有
[124:45] 你給我
[124:46] 你開
[124:47] 我不要開
[124:47] 你開
[124:48] 這個我不敢開
[124:49] 來
[124:50] 你有沒有什麼好不敢的
[124:51] 就是虧欠而已啊
[124:52] 人家賣
[124:52] 人家賣很貴耶
[124:54] 來
[124:54] 這是最新的
[124:55] 這個要的朋友
[124:56] 最新的哦
[124:56] 他今天這樣還必須你寫的
[124:58] 來
[124:59] 今天別人賣900多塊好不好
[125:01] 二哥今天已經訂好家
[125:02] 他怕被罵叫我唸出來
[125:04] 好不好
[125:04] 來
[125:05] 今天呢
[125:05] 別人賣960
[125:07] 我們在裡面嗎
[125:07] 來
[125:08] A26加1
[125:09] 今天要的朋友
[125:10] 今天給大家
[125:11] 沙塵價850
[125:12] 西安價799再回家
[125:14] 反正可以吃掉
[125:15] 很好吃
[125:16] 西安真的很香
[125:16] 跟家人一起的口味很香
[125:18] 要比他
[125:19] 粉酥菜很好吃
[125:21] 今天家裡面有10包
[125:22] 10包
[125:22] 吃一包
[125:24] 好吃耶
[125:24] 吃
[125:25] 現在很單的朋友
[125:26] 好不好
[125:27] 799
[125:28] 好好吃
[125:30] 很可愛耶
[125:31] 那個包包
[125:32] 很好吃
[125:33] 你看一下
[125:34] 超級可愛
[125:34] 然後外面的包裝
[125:35] 後面也有三眼怪啊
[125:36] 然後還有他們
[125:37] 紅翠絲跟我們的蝴蝶
[125:39] 在裡面
[125:40] 超級可愛的包裝
[125:42] 我們自己加起來是
[125:43] 配合前陣子
[125:44] 那個
[125:46] 完整
[125:46] 完整出的那個
[125:47] 對
[125:48] 出的那個最新的那個禮盒
[125:50] 最新的小禮盒
[125:51] 好 今天是東京BANANA
[125:52] 今天的最後一標
[125:53] 沒錯
[125:53] 我們前面有出那個
[125:55] 呃
[125:55] 奇奇滴滴啦
[125:56] 然後然後那個誰忘了
[125:59] 奇奇卡挖
[125:59] 奇奇滴卡挖
[126:01] 然後
[126:02] 奇奇滴滴
[126:03] 維尼的包包
[126:04] 維尼100週年
[126:05] 然後皮卡丘的
[126:06] 我們這次怎麼沒有維尼餅乾
[126:08] 餅乾
[126:10] 沒火
[126:11] 我們去明天要餅乾
[126:12] 燒
[126:13] 沒有做蛋糕
[126:14] 做蛋糕
[126:15] 餅乾被燒完了
[126:16] 餅乾被燒完了
[126:17] 所以那個包包也是很危險
[126:19] 有可能被燒了
[126:20] 來 你們要這個完整的趕快加囉
[126:22] 因為這種聯名限定
[126:24] 期間聯名限定
[126:25] 很快就會被加完了
[126:26] 來
[126:27] 剛剛這味覺糖
[126:28] 我跟證一下哦
[126:29] 它是
[126:30] 就是好吃的水果
[126:31] 水果糖好不好
[126:32] 好吃的水果糖
[126:33] 好吃的水果糖
[126:34] 不是機能性的
[126:35] 不是機能性的
[126:37] 來
[126:37] 它裡面我們剛剛有講哦
[126:39] 它有鋼山的清水白桃
[126:41] 哇
[126:42] 然後跟我們的
[126:43] 山梨葡萄
[126:44] 所以它裡面應該是打開
[126:46] 在下面對不對
[126:46] 打開有兩個嗎
[126:47] 我覺得下面有粉紅色的
[126:48] 被埋在最下面
[126:49] 是嗎
[126:49] 我要想吃吃看哦
[126:52] 來 給你們看啊
[126:53] 它是這樣子
[126:54] 軟糖式的
[126:54] 你說一包裡面有兩口耶嗎
[126:56] 對哦
[126:57] 我們倒出來好了
[126:59] 哦 我找到了了
[126:59] 欸 很濃郁耶
[127:00] 它就好在下面
[127:01] 好吃耶
[127:01] 粉紅色的
[127:02] 好好吃哦
[127:04] 哦
[127:04] 哦 好香哦
[127:05] 這超好吃的耶
[127:06] 超香耶
[127:07] 來這裡
[127:07] 哦
[127:08] 這超好吃的耶
[127:09] 我們倒出來好了
[127:10] 好
[127:11] 我去拿碟子
[127:13] 哦 很好
[127:14] 等個個
[127:14] 如果你想吃水果軟糖的
[127:16] 這個超好吃
[127:18] 它裡面總共有728克
[127:21] 好不好
[127:21] 728克
[127:23] 然後建議因為這個是軟糖
[127:24] 建議你要保存到28度C以下
[127:27] 你如果不知道
[127:29] 超過你又建議
[127:30] 有沒有看到太陽紫色的地方啦
[127:32] 如果太熱
[127:33] 你擔心它
[127:34] 會黏在一起
[127:35] 你就放在冰箱
[127:36] 好不好 放在冰箱冷藏
[127:37] 然後裡面大概有各13袋
[127:40] 所以會有26袋
[127:42] 大概大概
[127:43] 還有你在2016年的3月
[127:45] 哦 超好吃
[127:46] 欸 很好吃哦
[127:47] 很好吃耶 很Juicy耶
[127:48] 很日系的那一種
[127:50] 軟糖耶
[127:51] 很Juicy
[127:52] 就是高級的水果
[127:54] 你一次就知道是日本的軟糖
[127:55] 很Juicy
[127:57] 又說是日本的軟糖
[127:58] 很Juicy
[127:58] 好不好
[127:59] 很高級耶
[128:00] 所以裡面總共會有
[128:01] 大概26袋左右
[128:03] 水蜜桃13袋
[128:05] 葡萄13袋
[128:06] 26袋 會不會賣
[128:07] 來 這個
[128:10] 這個是他們好事多招牌會賣
[128:12] 來 要這個軟糖的A27加1
[128:16] A27加1
[128:17] 裡面大概有26袋
[128:19] 好不好
[128:20] 來 A27加1
[128:22] 今天要的朋友
[128:23] 今天給大家
[128:24] 很難開耶
[128:25] 很難開啊
[128:27] 來 商城價799
[128:30] 799
[128:31] 加1799
[128:32] 加2的朋友
[128:34] 加2的朋友
[128:35] 加2以上一袋
[128:36] 750塊再回家
[128:38] 750塊
[128:39] 加2以上750塊再回家
[128:41] 好不好
[128:41] 來啦
[128:42] 也不用750塊
[128:43] 我就好喜歡吃
[128:44] 很好吃
[128:45] 超好吃的
[128:45] 來 今天各位朋友
[128:46] 加1我們799
[128:48] 加2以上一袋
[128:50] 699再回家
[128:52] 699
[128:53] 加2以上一袋699
[128:53] 你31包才多少錢
[128:55] 699除以26袋
[128:57] 一袋20幾塊錢
[128:59] 超好吃
[129:00] 好不好
[129:00] 超好吃
[129:01] 真的
[129:01] 你們不會吃
[129:02] 水蜜桃跟山泥鮮蜜桃
[129:04] 真的很好吃
[129:05] 它包裝就這麼高級了
[129:07] 它真的很好吃
[129:08] 嗯 它不是
[129:09] 就是很高級的那種水果
[129:11] 然後做成的水果軟糖
[129:12] 跟山泥鮮跟山泥鮮
[129:14] 他們一起合作
[129:15] 產出的這一個
[129:16] 最新最新的地區限定的
[129:19] 地區限定的高級軟糖
[129:21] 超級無敵好吃
[129:23] 今天加兩包一包
[129:25] 只要699帶回家
[129:28] 我們自己大家都帶一包回去啦
[129:30] 我真的覺得
[129:30] 你們稍微你會超級滿意
[129:33] 一吃就知道是
[129:33] 日本來的高級軟糖
[129:35] 分給同事吃
[129:36] 超好吃
[129:37] 這麼好吃的軟糖
[129:38] 我跟你講
[129:38] 他保證沒吃過
[129:39] 真的
[129:40] 因為為什麼
[129:40] 它這些都是最新的商品
[129:41] 滿意的
[129:42] 這次你來日本才買得到
[129:44] 就是你今天不用飛日本
[129:46] 你直接動動手指
[129:47] 你再吃日本高級水果的感覺
[129:49] 直接入口是日本高級水果的感覺
[129:52] 對
[129:52] 是那種什麼化學的
[129:54] 然後吃起來的水果軟糖
[129:56] 完全沒有
[129:56] 它沒有化學那種
[129:57] 化學那個水果的香料味
[130:01] 完全不是
[130:02] 完全不是
[130:03] 他自己的水果本來很好吃
[130:04] 我們分一分要帶回家
[130:05] 好好吃喔
[130:06] 這超級有一點好吃
[130:07] 因為自己多帶幾包回去
[130:08] 大家都懂加二
[130:09] 都加二以上
[130:10] 一包給大家699
[130:12] 699
[130:12] 剩下不要浪費
[130:13] 超級大耶
[130:14] 來
[130:15] 再來
[130:15] 我們今天
[130:16] 下午
[130:18] 那等一下
[130:18] 他應該去哪
[130:19] 他用的泡啦
[130:20] 蛤
[130:20] 這冰仔
[130:21] 這個要
[130:21] 讓他熱的
[130:22] 好
[130:22] 那等一下
[130:23] 我換一下
[130:23] 讓他看一下
[130:24] 我看一下
[130:25] 後面有寫
[130:26] 那等一下
[130:27] 我們先出別的
[130:28] 沒有
[130:28] 我沒有剛說到這個
[130:29] 我們先出別的
[130:30] 那是我的水
[130:31] 來再來這個
[130:32] 說也賣得很好
[130:33] 我們來先出這個
[130:34] 好啊
[130:35] 來
[130:36] 這個也是說缺貨很久
[130:38] 然後今天
[130:39] 才剛剛好吃多幼露褲
[130:40] 好不好
[130:42] 好
[130:43] 這糖果要加
[130:44] 這糖果好好吃
[130:45] 認真說
[130:46] 好不好
[130:47] 來
[130:48] 這個呢
[130:49] 裡面呢
[130:49] 我看一下喔
[130:50] 這個裡面
[130:51] 它是兩種
[130:52] 然後呢
[130:53] 獨立包裝
[130:54] 各四袋
[130:55] 所以裡面有八路
[130:57] 好不好
[130:57] 裡面有八路
[130:58] 它就有奢華煙薰血魚
[131:01] 奢華煙
[131:01] 然後你是真的可以
[131:02] 拿去烤箱烤一烤
[131:04] 味道會更
[131:06] 味道會加熱一下
[131:07] 味道會更
[131:08] 更濃郁
[131:09] 好不好
[131:09] 味道會更濃郁
[131:10] 來 我們要來吃吃看
[131:11] 好不好
[131:12] 它裡面有兩種
[131:13] 一個是煙薰
[131:14] 我看一下喔
[131:15] 一個是
[131:16] 起
[131:17] 煙薰血魚
[131:18] 另外一個咧
[131:20] 這樣子啦
[131:21] 兩種
[131:22] 兩種不同形狀耶
[131:25] 我把它倒出來看看好不好
[131:27] 來 等我一下
[131:28] 我把它倒出來看看
[131:31] 一個是煙薰起司
[131:33] 一個是
[131:34] 起司血魚條
[131:35] 起司血魚條
[131:37] 來 我倒一下
[131:38] 等我喔
[131:39] 我把它倒出來給你們看一下
[131:42] 來
[131:42] 它呢
[131:43] 它都是
[131:43] 就是
[131:44] 這樣子我打開給你們看一下
[131:46] 這個是那個
[131:47] 它是那個煙薰起司
[131:48] 剛剛軟糖是獨立包裝
[131:50] 然後兩種口味
[131:51] 大概各十三袋
[131:52] 它是寫約各十三袋
[131:54] 所以裡面會有
[131:55] 大概26袋左右
[131:56] 好不好
[131:57] 26袋左右
[131:58] 來
[131:59] 然後這個是我們的
[132:00] 煙薰起司條
[132:02] 好不好
[132:02] 然後這個是
[132:04] 煙薰血魚條
[132:06] 好不好
[132:06] 煙薰血魚條
[132:07] 給你們看一下
[132:09] 來
[132:09] 真的呢
[132:10] 它是呢
[132:11] 你看喔
[132:12] 倒出來
[132:13] 你要配酒啦
[132:14] 當下酒菜啦
[132:15] 都非常好吃
[132:16] 然後呢
[132:17] 味道是這種鹹鹹的
[132:19] 鹹味
[132:21] 欸 很有嚼勁耶
[132:24] 很有嚼勁
[132:26] 然後起司味道很濃郁
[132:28] 好不好
[132:29] 起司味道很濃郁
[132:30] 對
[132:31] 然後你也可以拿來
[132:33] 就是加熱一下
[132:34] 起司味道會更濃郁
[132:35] 好不好
[132:36] 那裡面會有兩種各四袋
[132:38] 兩種各四袋
[132:39] 所以總共會有八袋
[132:40] 好不好
[132:41] 總共會有八袋
[132:42] 一樣可以補充豐富的
[132:43] 那種蛋白質啦
[132:45] Omega3啦
[132:46] 然後下酒菜啦
[132:47] 它裡面是
[132:48] 煙薰起司
[132:49] 裡面有五種天然的起司混合的
[132:51] 就那一小塊一小塊的這個
[132:53] 是有五種起司天然起司做人製成的
[132:57] 然後另外一個是起司血魚
[132:59] 它裡面是有加入了12%法國來的
[133:03] 很高級耶
[133:03] 法國來的起司喔
[133:05] 12%從法國進口的
[133:07] 所以它會做是奢華
[133:09] 好不好
[133:10] 奢華煙薰起司
[133:11] 它吃起來還有那種
[133:12] 有堅果香氣
[133:13] 然後濃郁的風味在裡面
[133:15] 所以它說吃起來
[133:16] 它的起司有附個
[133:17] 你吃吃看
[133:18] 不會硬不會硬
[133:19] 有那個堅果的香氣
[133:20] 因為那個來自那個
[133:26] 高級的起司
[133:27] 很好吃耶
[133:28] 手三長一點
[133:29] 手三長一點
[133:29] 它起司跟那些血魚會化在一起
[133:31] 然後你不用咬
[133:33] 它會這樣也稠稠的
[133:34] 這種化
[133:34] 化開
[133:36] 然後我看一下喔
[133:37] 它每
[133:38] 很好吃
[133:39] 很好吃
[133:39] 高級的
[133:41] 好不好
[133:41] 它是起司本人
[133:43] 喜歡吃起司的這標不?
[133:44] 不要錯過
[133:44] 很好吃耶
[133:45] 它就起司然後再加血魚啦
[133:47] 好不好
[133:47] 來
[133:48] 每一袋好像是3.2克嗎
[133:50] 我看一下
[133:51] 一袋
[133:51] 一袋都是3.2克
[133:53] 好不好
[133:54] 我跟你講你這個如果
[133:55] 你掉吐司的話
[133:55] 你加在吐司裡也超好吃
[133:57] 還是追貨很久
[133:58] 這超好吃的耶
[133:59] 今天才又剛到貨
[134:02] 剛到貨裡面
[134:03] 來
[134:03] 這個等一下是A28
[134:05] A28
[134:05] A28
[134:06] 如果你喜歡吃起司的
[134:08] 然後想要喜歡吃煙燻歸血魚的
[134:11] 同時可以補充我們魚類的
[134:12] Omega啦
[134:13] 蛋白質
[134:14] 然後再加我們起司的
[134:16] 營養的成分在裡面
[134:17] 五種天然起司的
[134:18] 是做了這個
[134:19] 這個用了二種
[134:20] 煙燻製成的
[134:21] 我現在這邊不準耶
[134:23] 因為我這邊的
[134:24] 大概是到26年12月
[134:26] 好不好
[134:27] 26年12月
[134:28] 他現在是9月初嗎
[134:29] 他1月最新的
[134:30] 他剛才最
[134:31] 最少會到12月
[134:32] 其實管他一下也是
[134:33] 最少會到12月
[134:35] 來 今天要的朋友
[134:36] A28加1
[134:37] 這個很多人許願
[134:39] 剛好今天有刀破
[134:40] 血魚跟起司的融為一體
[134:42] 這入口即化超好吃
[134:44] 來 今天A28加1
[134:46] 加1袋給大家450塊
[134:49] 來 今天加兩袋以上的
[134:51] 一袋只要399帶回家
[134:53] 399
[134:54] 399帶回家
[134:56] 吃的東西這麼厚
[134:57] 是這麼大條的399
[134:59] 裡面有8袋
[135:00] 兩種口味8袋
[135:02] 加2以上的1袋399
[135:04] 是我們那個建式太淺
[135:06] 他這個從1982年
[135:08] 就已經蜂迷人氣綁了
[135:10] 抱歉
[135:12] 他說
[135:13] 他跟他媽媽說
[135:14] 是我們建式太淺
[135:15] 他就結合他媽媽的建式太淺
[135:17] 他結合了日本的
[135:18] 那個日本的血魚
[135:20] 他結合日本的血魚
[135:21] 加上那個法國的起司
[135:23] 融合在一個
[135:24] 融合在一起
[135:25] 很久了是我們不知道
[135:27] 因為剛剛廠商也有跟我說
[135:28] 這個
[135:29] 之前缺貨很久
[135:30] 剛好今天有
[135:31] 有桃子座間有入庫
[135:33] 你們才買得到的
[135:33] 他平常在外面是兩個是分開賣的
[135:35] 你沒辦法一起買兩個口味的
[135:37] 加2包以上就是1袋399
[135:40] 你們可以自己多加幾包
[135:41] 可以自己多加幾包
[135:43] 你今天來日本的話
[135:44] 他正常賣的話
[135:45] 是兩個不同的口味
[135:46] 分開的
[135:47] 他今天幫你直接合在一起
[135:49] 時間限定
[135:50] 他幫你合在一起
[135:51] 超級無敵好吃
[135:52] 再講一次
[135:53] 小的這條是
[135:54] 無種起司靜音製作的
[135:55] 真的
[135:56] 然後吃起來真的是
[135:57] 很好吃很香很香的起司
[135:59] 起司條
[136:00] 然後這個比較細的
[136:01] 他是血魚加上12%的法國起司
[136:04] 進行融合起來
[136:06] 你入
[136:06] 反正嘴巴也不用咬入口即化
[136:09] 入口即化
[136:09] 然後你可以加熱魚
[136:11] 對
[136:12] 對 超級香
[136:14] 有些人會覺得說
[136:14] 起司會不會有那個奇怪的那個
[136:16] 雙味
[136:16] 這完全沒有
[136:17] 霸關的喔
[136:18] 完全沒有
[136:19] 對這超級無敵好吃
[136:20] 我真的覺得大家可以的
[136:22] 敢吃起司的這款
[136:23] 真的多帶幾包回去
[136:25] 你會超級喜歡這款商品
[136:26] 好吃啊
[136:27] 好吃
[136:27] 沒錯
[136:28] 很好吃
[136:29] 來
[136:29] 再來我們今天下午
[136:30] 一直介紹的
[136:31] 一直沒出給你們
[136:32] 來我們日冬出品的
[136:34] 下午我們有出那個
[136:36] 日冬的皇家奶茶給你們
[136:38] 然後這個是抹茶拿鐵
[136:40] 好不好
[136:41] 這個是抹茶拿鐵
[136:43] 然後一樣
[136:44] 冷泡熱泡就對了
[136:45] 冷泡熱泡都可以
[136:46] 然後呢
[136:47] 效期至少到27年的11月
[136:49] 裡面也有60包
[136:52] 好不好
[136:53] 來
[136:54] 選用羽製抹茶
[136:55] 好不好
[136:56] 羽製抹茶
[136:57] 日冬的這個
[136:59] 日冬出品的茶
[137:00] 都是非常非常好喝
[137:02] 然後是做粉末狀的
[137:04] 那你要冷泡熱泡都可以
[137:06] 它是讓一袋裡面10小包
[137:08] 一袋裡面10小包
[137:09] 裡面總共有60小包
[137:11] 裡面總有60小包
[137:13] 然後是抹茶歐蕾
[137:14] 抹茶歐蕾
[137:15] 喝起來非常好喝
[137:17] 然後呢
[137:17] 那個濃淡度可以自己做調整
[137:19] 好不好
[137:20] 濃淡度可以自己做調整
[137:21] 所以如果你今天想要
[137:23] 抹茶歐蕾的
[137:24] 這個呢
[137:25] 幫我打A29
[137:27] 我要喝喝看
[137:28] A29你喝喝看
[137:29] 我超愛抹茶
[137:30] 那你就這樣嘛
[137:31] 羽製抹茶歐蕾
[137:33] 你去外面買一杯
[137:35] 最便宜我們
[137:36] 最便宜咖啡廳什麼的
[137:37] 要不要
[137:38] 要不要一杯150
[137:40] 要
[137:40] 不止
[137:41] 超過
[137:41] 超過
[137:42] 現在抹茶很歐蕾很貴
[137:44] 150
[137:45] 要抹茶很貴
[137:46] 現在抹茶是一個奢侈的一東西
[137:49] 好
[137:49] 越越貴
[137:50] 150乘以60包
[137:51] 也要9千塊
[137:52] 他們不要說
[137:54] 我不要去這個咖啡廳
[137:55] 我今天買手搖飲的抹茶
[137:58] 一杯要不要75塊
[138:01] 要
[138:01] 75塊已經很便宜了
[138:02] 好不好
[138:03] 60
[138:04] 60杯也要4500
[138:06] 來
[138:06] 今天想要這個
[138:07] 我們這個
[138:08] 羽製抹茶日東出品的
[138:10] 抹茶歐蕾的
[138:12] 幫我打會不會很甜
[138:13] 不會
[138:13] 他不會很甜
[138:14] 然後主要是奶香比較多
[138:16] 然後我跟你講
[138:17] 他這款也是秋季上
[138:19] 秋季
[138:19] 秋季才會出的商品
[138:21] 他上禮拜才正式就回來的
[138:23] 回來販售的
[138:24] 上禮拜
[138:24] 我們又遇到了
[138:26] 抹茶這個抹茶季
[138:28] 秋季才會出的
[138:29] 抹茶季
[138:29] 然後冷泡熱泡都可以
[138:31] 好不好
[138:32] 然後今天
[138:33] 不用在那邊有些抹茶
[138:34] 你要自己在那邊有沒有
[138:35] 弄那個粉什麼的
[138:37] 這完全不用
[138:38] 直接輕鬆撕開
[138:39] 然後直接沖泡就OK了
[138:41] 而且他喝起來不會像是有
[138:42] 有些台灣的那種泡的
[138:44] 沒有
[138:45] 我在看那個
[138:46] 幫你準備下來
[138:46] 那個後面的東西
[138:47] 來
[138:48] 他這個
[138:48] A29加1
[138:50] 他這個就是你
[138:50] 你喝起來他完全不會有
[138:52] 但是別泡泡這種抹茶
[138:54] 或是紅茶拿去什麼的
[138:56] 他的他們家完全不會有
[138:57] 那個含有那個苦澀
[138:59] 之後會有什麼粉粉
[139:00] 那個給完全沒有
[139:01] 完全不會
[139:01] 他喝起來就是很絲滑很順
[139:03] 今天我要開架了
[139:04] 今天各位朋友
[139:06] 今天有60包
[139:07] 你可以泡60杯
[139:09] A29加1
[139:10] 高級的
[139:11] 高級的這個
[139:12] 日冬出品的
[139:14] 宇治抹茶歐雷
[139:15] 來今天60包
[139:17] 給大家
[139:18] 商城價
[139:19] 你們要聽好了
[139:19] 這價錢超狂
[139:21] 商城價799
[139:22] 799
[139:23] 來線上價750
[139:25] 加兩盒以上的
[139:27] 一盒給大家699
[139:28] 699
[139:30] 我剛剛說60條對不對
[139:32] 對
[139:32] 來一杯多少錢
[139:33] 11塊
[139:34] 太扯了
[139:35] 7杯
[139:36] 給你們11塊
[139:38] 假那麼多拿10塊
[139:39] 大家可以直接加2
[139:41] 好不好冷泡熱泡都可以
[139:42] 如果你很喜歡
[139:43] 喝宇治抹茶的
[139:44] 太便宜了
[139:45] 抹茶歐雷的
[139:47] 今天自己泡再加
[139:48] 喝一杯就省
[139:49] 就省個100塊
[139:51] 喝一杯就省個100塊
[139:52] 超級超級划算好不好
[139:54] 超級超級划算
[139:55] 一樣日冬
[139:55] 你如果喜歡日冬的
[139:57] 奶茶皇家奶茶
[139:58] 我們今天中午的
[139:59] 好市多專場
