[00:00] 來來來開始囉 大家晚安
[00:05] 大家晚安 收發音樂
[00:07] 大家晚安大家好 來聯絡點一下
[00:11] 晚安晚安 來趕快進來趕快進來
[00:15] 在直播間就可以這樣大吵大鬧
[01:47] 你拿起麵包
[01:48] 現在那個販賣機
[01:49] 幫你投一個好了
[01:50] 好
[01:51] 你販賣機幫他投個水
[01:53] 對
[01:54] 西瓜卡就可以逼這樣子
[01:55] 每人都帶一下錢
[01:57] 晚安晚安
[01:58] 先來先公開分享五次
[02:00] 好不好
[02:01] 我們這次日本連線
[02:03] 總共有四天
[02:04] 然後今天是
[02:05] 第一天的第二場
[02:06] 第一天的第二場
[02:08] 然後這一場
[02:09] 今天就是好市多兩場
[02:11] 所以你想要買好市多的商品
[02:12] 沒錯
[02:13] 今天更好
[02:14] 然後晚上會參差
[02:15] 一些東京本拿拿的東西
[02:16] 那明天中午
[02:17] 12點是我們的
[02:18] 伴手禮跟授權IP小屋
[02:21] 很可愛的各項
[02:22] 小屋跟伴手禮
[02:23] 明天中午12點
[02:25] 然後明天晚上7點
[02:26] 是我們的7-11
[02:28] 7-11
[02:29] 7-11
[02:30] 在東京
[02:31] 我在東京這個區域
[02:33] 在東京
[02:34] 然後其實這兩天
[02:35] 東京也是都下大雨
[02:36] 好不好
[02:37] 其實因為這樣放鬆
[02:38] 才是我們的伴娘
[02:39] 沒錯
[02:40] 不是
[02:41] 日本你看我們去日本
[02:43] 我們比較少在外面直播
[02:44] 因為日本人
[02:45] 你們只要來過日本的帳
[02:47] 日本人除非因為拘损
[02:48] 不然一般
[02:49] 他們都是親生
[02:50] 對他們來講
[02:51] 這是一種禮貌
[02:52] 我們稍微大聲一點
[02:53] 旁邊
[02:54] 我覺得我們有點沒禮貌
[02:55] 沒錯
[02:56] 我們就是這個
[02:57] 民族文化的不同
[02:58] 所以還是要給他吃
[02:59] 但是我中午還
[03:00] 對中午還是要讓你們知道
[03:01] 我們就一起觀好市多
[03:03] 讓你們知道日本好市多
[03:04] 這個對
[03:05] 超好吃
[03:06] 我中午有賣
[03:07] 好不好
[03:08] 中午有賣
[03:09] 中午這個是銷售第二名
[03:10] 超好吃
[03:11] 我有跟你們講
[03:12] 我還給你們修訂單
[03:13] 等一下如果你們跟到
[03:14] 我們再開
[03:15] 我們再開
[03:16] 我們再開
[03:17] 我們再開
[03:18] 我等一下給你們看
[03:20] 我都十包二十包再買
[03:21] 對一包就要四十九十九塊
[03:23] 對因為不夠吃好不好
[03:24] 來我們先公開分享五次
[03:26] 好不好
[03:27] 然後幫我打算
[03:28] 好市多買爆他
[03:30] 好市多買爆他
[03:31] 好市多買爆他
[03:32] 那我們中午
[03:33] 已經開過一場了
[03:34] 所以如果你中午
[03:35] 沒有跟到朋友
[03:36] 沒關係因為明後天是假日
[03:37] 我們當然
[03:38] 這次的直播
[03:39] 都可以直播
[03:40] 會放到9月9號的
[03:41] 早上11點就
[03:42] 滿3000就免
[03:43] 因為滿3000運費80
[03:44] 一律先付款才出貨
[03:46] 9月9號的中午12點
[03:48] 要完成結單
[03:49] 並且完全付款
[03:50] 然後這次一樣有滿額證
[03:52] 滿8888
[03:53] 剛好這邊有拿來
[03:54] 好不好
[03:55] 滿8888
[03:56] 會送你這件會嗎
[03:57] 欸
[03:58] 那個現在看不到
[04:00] 欸為什麼有這個
[04:01] 不知道
[04:02] 那是那個信塔的
[04:03] 信塔
[04:04] OK嗎沒有賺
[04:05] 滿8888
[04:06] 會送你們這個
[04:08] 那個小熊餅乾
[04:09] 跟東京本來
[04:10] 聯名的這個小熊餅乾
[04:11] 滿8888
[04:12] 就會送
[04:13] 是滿8888嗎
[04:14] 滿8888就會送一盒
[04:16] 那滿一萬2000
[04:17] 滿8888
[04:18] 會送你很漂亮的小香蜂
[04:19] 飾品盒
[04:20] 那飾品盒有10個顏色
[04:21] 是隨機出貨
[04:22] 隨機出貨
[04:23] 但是你如果用紅粒
[04:24] 就沒有
[04:25] 好不好用紅粒沒有
[04:26] 這次一樣
[04:27] 有準備滿額證給大家
[04:28] 沒錯
[04:29] 然後呢
[04:30] 大家可以自己
[04:31] 自己看一下
[04:32] 我們是
[04:33] 一個帳號線
[04:34] 應該是沒線
[04:35] 一個帳號線
[04:36] 一個線一份禮物
[04:37] 好不好
[04:38] 一個帳號線
[04:39] 沒錯
[04:40] 所以大家
[04:41] 這次4天的
[04:42] 日本聯線
[04:43] 要更好
[04:44] 好不好要更好
[04:45] 來
[04:46] 2分鐘
[04:47] 好不好
[04:48] 等一下
[04:49] 在一盒裡面有30包
[04:50] 我們就抽30位
[04:51] 一人送他一包
[04:53] 裡面是一小包
[04:54] 我等一下拆箱給你們看
[04:55] 一樣
[04:56] 有買東西
[04:57] 等一下有買東西
[04:58] 有結單才送給你們
[04:59] 好不好
[05:00] 有買東西
[05:01] 拿刀子來割
[05:02] 他說可以割開
[05:03] 我們中午有賣
[05:04] 但是沒有割開吃
[05:05] 等一下
[05:06] 我抽完30位之後
[05:08] 我會直接
[05:09] 我們割開來
[05:10] 然後吃給你們看
[05:11] 然後如果你中午
[05:12] 沒有割到的
[05:13] 一定要割好
[05:14] 等一下秀我
[05:15] 給你們看
[05:16] 因為我跟我女兒
[05:17] 去沖繩玩
[05:18] 然後我們自己買了
[05:19] 不知道買5包10包
[05:21] 所以我們兩個
[05:22] 一下子就秒殺了
[05:23] 秒殺之後
[05:24] 我又自己去擦皮
[05:25] 擦皮一包
[05:26] 要賣38塊
[05:27] 我還買
[05:28] 比過價最便宜38塊
[05:30] 然後我還買了10包
[05:31] 我買了兩次
[05:32] 我買了10包
[05:33] 然後我今天
[05:34] 價錢非常狂
[05:35] 等一下賣的時候
[05:36] 然後我們大家抽30位
[05:37] 直接就送你這個
[05:38] 一小包
[05:39] 而且這個是
[05:40] 50周年
[05:41] 50周年限定的
[05:42] 好不好
[05:43] 是超好吃
[05:44] 這個快樂先輩
[05:45] 歸田治國了
[05:47] 快樂先輩
[05:48] 然後其實他就是
[05:49] 台灣的汪汪先輩
[05:50] 沒錯
[05:51] 但是他比汪汪先輩
[05:52] 更好吃
[05:53] 因為汪汪先輩
[05:54] 汪汪先輩很好玩
[05:55] 汪汪先輩你們有發現嗎
[05:56] 他會有一片比較鹹
[05:57] 一片不鹹
[05:58] 然後你就會覺得說
[06:00] 我一定會有一片不鹹
[06:01] 但他這樣
[06:02] 他每一片都是
[06:03] 每一片都是鹹鹹甜甜的
[06:05] 很夠味
[06:06] 然後很脆
[06:07] 很好吃
[06:08] 你有倒數嗎
[06:09] 有 我倒數了
[06:10] 有倒數了
[06:11] 我這邊看一下
[06:12] 禮物
[06:13] 禮物送不完
[06:14] 好不好
[06:15] 來日本
[06:16] 禮物送不完
[06:17] 每一場都在送
[06:18] 每一場
[06:19] 然後中午我們有抽
[06:20] 100個50元購物金
[06:22] 記得也是
[06:23] 就是整個日本連線
[06:24] 就是有買東西
[06:26] 就可以抵抗
[06:27] 你再放到
[06:28] 連這個手機都放
[06:29] 我在用的
[06:30] 沒有地震
[06:31] 二哥在調整設備
[06:33] 稍等一下
[06:34] 二哥在調整設備
[06:36] 所以這個
[06:37] 如果你們等一下
[06:38] 沒有抽到的朋友
[06:39] 要買
[06:40] 中午沒有跟到的
[06:41] 反正大家會再
[06:42] 打開吃一次給你們看
[06:44] 打開吃一次給你們看
[06:45] 因為這個
[06:46] 我們中午賣得很好
[06:47] 跟那個
[06:48] 葉酸鐵的糖果
[06:49] 都賣得非常好
[06:50] 我今天
[06:51] 等一下會再幫你們介紹一次
[06:52] 等一下會幫你們介紹一次
[06:54] 來你們看一下喔
[06:55] 我們不騙人喔
[06:56] 來你們看一下
[06:57] 我買一包39塊
[06:59] 好不好
[07:00] 然後買了10包
[07:01] 好不好
[07:02] 買了10包
[07:03] 我們剛剛有講喔
[07:04] 這一箱裡面30小包喔
[07:06] 如果我買39塊
[07:08] 這一箱要1000多塊
[07:09] 但我們今天
[07:11] 等一下我再告訴你們
[07:12] 我中午賣多少錢
[07:13] 然後今天晚上一樣
[07:14] 準備了滿滿的好物給你們
[07:16] 滿滿的好物給你們
[07:17] 所以要跟他
[07:18] 那如果呢
[07:19] 還沒有加入
[07:20] 我們VIP的社群的朋友
[07:22] 可能會先加入
[07:23] 我們VIP社群
[07:24] 然後你想要許願
[07:25] 可以在社群裡面
[07:26] 做許願
[07:27] 有聽選了嗎
[07:28] VIP
[07:29] 來這裡
[07:30] VIP社群
[07:31] 老朋友新朋友
[07:32] 還沒有加入VIP社群
[07:33] 趕快先點擊
[07:34] 加入VIP社群
[07:35] 然後呢
[07:36] 新朋友可以在裡面
[07:37] 領取100元
[07:38] 新朋友購物金
[07:39] 然後呢老朋友
[07:40] 裡面也是有很多活動
[07:42] 然後你想要許願
[07:43] 什麼東西
[07:44] 也可以在我們的社群裡面
[07:45] 做許願
[07:46] 好不好
[07:47] 來還有多久時間
[07:48] 來時間到了
[07:49] 時間到了
[07:50] 我們抽30位
[07:51] 好不好
[07:52] 我們抽30位
[07:53] 抽出來之後
[07:54] 我就不依一個唱名
[07:55] 幫我公佈之後
[07:57] 我就幫你們錄購車
[07:58] 一次抽30位
[07:59] 真的是沒有別台單
[08:00] 錯的
[08:01] 你要有買東西
[08:02] 好不好
[08:03] 有買東西有結單
[08:04] 才送給你們
[08:05] 對 沒錯
[08:06] 有買東西有結單
[08:07] 才送給你們
[08:08] 規定是因為我們後來
[08:09] 發現有人喔
[08:10] 就是都是專門
[08:11] 來抽禮物的
[08:12] 從來不買東西的
[08:13] 沒錯
[08:14] 然後抽到購物金
[08:15] 50塊喔
[08:16] 他就換49塊的東西喔
[08:17] 然後從來不消費的
[08:19] 訂單還是付出
[08:20] 然後還那個門市取貨
[08:21] 很多喔 對
[08:22] 還有訂單付出的
[08:23] 不要這樣啦
[08:24] 好不好
[08:25] 我們送禮物是小輕易
[08:26] 哪一台
[08:27] 像我前面抽
[08:28] 後面又抽
[08:29] 沒有
[08:30] 真抽真送
[08:31] 那就是呢
[08:32] 連一點點錢
[08:33] 都不願意支持我們
[08:34] 那你就可能去別家了
[08:35] 我們也是
[08:36] 做辛苦的小生意
[08:37] 來 公佈了
[08:38] 公佈了
[08:39] 然後你們大家
[08:40] 就是這30位
[08:41] 先幫你錄到購物車
[08:42] 一樣要有買東西有結單
[08:44] 這個禮物是送給你們
[08:45] 來 這個我要來開吃了
[08:47] 我個人超喜歡
[08:48] 然後因為中午在好事多
[08:50] 不能吃
[08:51] 所以呢
[08:52] 現在把娘
[08:53] 直接這個
[08:54] 插給你們吃
[08:55] 來 它是一個
[08:57] 家庭
[08:58] 家庭號
[08:59] 家庭號
[09:00] 30小包
[09:01] 30小包
[09:02] 50周年限定
[09:03] 然後一小包
[09:04] 它是像這樣子
[09:05] 它是一個
[09:06] 鮮貝餅乾
[09:07] 鮮貝餅乾
[09:08] 一小包是像這樣
[09:09] 我看一下幾克
[09:10] 等我一下
[09:11] 來
[09:12] 它是
[09:13] 28克
[09:14] 然後它的鮮貝餅乾
[09:16] 就是做一個小小的
[09:17] 打開給你們看
[09:18] 剛剛下午有人問
[09:19] 有幾個
[09:20] 裡面是兩個嗎
[09:21] 當然不是
[09:22] 它裡面
[09:23] 小小的
[09:24] 它是襯重的28克
[09:25] 像這個裡面
[09:26] 就有6 7個
[09:27] 好不好
[09:28] 它很脆很好吃
[09:29] 給你們進看一下
[09:30] 裡面就有6 7個
[09:31] 很脆很好吃
[09:32] 很滿滿的一包
[09:33] 好幾片
[09:34] 超好吃的
[09:35] 加一就是有單
[09:36] 你們翻一份單就沒了
[09:37] 這個超好吃
[09:38] 這個我自己
[09:39] 我剛剛要離開
[09:40] 扣子頭的時候
[09:41] 我還跟二哥說
[09:42] 我要不要頒兩箱
[09:43] 因為妹妹等不及了
[09:44] 我女兒
[09:45] 沒有女兒跟我兩個
[09:46] 超好吃
[09:47] 我會喜歡
[09:48] 好不好
[09:49] 來
[09:50] 如果你收穫
[09:51] 沒有跟腦的朋友
[09:52] A01加一
[09:53] 我剛剛給你看
[09:54] 我在XP5的訂單
[09:55] 我買一包
[09:56] 比過價
[09:57] 叫39塊
[09:58] 好不好
[09:59] 今天我是30包
[10:00] 來
[10:01] 39乘以30包
[10:02] 要多少錢
[10:03] 1170
[10:04] 大家快樂賢伯
[10:05] 吃了你會很快樂
[10:06] 好不好
[10:07] 來
[10:08] 要給我們看一下價格
[10:09] 來
[10:10] 今天A01加1
[10:11] 也不用1170
[10:13] 好不好
[10:14] 這一整箱帶回家
[10:15] 今天是賣多少錢
[10:16] 下午是賣多少錢
[10:17] 599
[10:19] 叫599
[10:21] 我真的忘了
[10:22] 下午那麼慌亂的狀況下
[10:25] 我賣599
[10:26] 我應該1170
[10:27] 買一箱送一箱
[10:29] 人家一包39
[10:30] 還沒有盒子
[10:31] 然後我今天給人家賣
[10:33] 599
[10:34] 直接599喔
[10:35] 有商城加線上加嗎
[10:37] 沒有
[10:38] 599有一包不用20塊
[10:40] 太扯
[10:41] 我賣別人的對折
[10:42] 難怪中午賣第二名
[10:44] 對
[10:45] 我這樣算不太對
[10:47] 很好吃
[10:48] 我們中午就說
[10:49] 不然中國在幹嘛
[10:50] 然後我跟你講
[10:51] 超好吃
[10:52] 你會一直在聽
[10:53] 我們中午現在不是
[10:54] 手上有鹽
[10:55] 很好吃
[10:56] 而且他很脆
[10:57] 然後下午期
[10:58] 也是最新下午期
[10:59] 2027年
[11:00] 有沒有聽到
[11:01] 超好吃
[11:02] 觀推薦你們
[11:03] 可以多買幾箱
[11:04] 因為真的好吃
[11:05] 然後小小包
[11:06] 你放在小朋友的書包裡面
[11:08] 他去學校肚子餓的時候
[11:09] 說到現在我肚子餓很可憐
[11:11] 沒有那個
[11:12] 沒有點心可以吃
[11:13] 那他
[11:14] 他可以拆開來
[11:15] 馬上跟我吃一包
[11:16] 這個瓶子
[11:17] 真的價錢超狂
[11:18] 超長
[11:19] 你自己收多價起來
[11:22] 可以講
[11:23] 不是
[11:24] 不是
[11:25] 反正現在說
[11:26] 599我自己買的時候
[11:28] 能買幾包而已
[11:29] 我不知道
[11:30] 我賣599
[11:31] 好不好
[11:32] 來
[11:33] 你們真的看一下
[11:34] 我買39塊
[11:35] 然後我買10包
[11:36] 你們有看到嗎
[11:37] 然後我自己賣
[11:38] 我就可以
[11:39] 我們也不要說賣39
[11:40] 我賣35
[11:41] 賣29
[11:42] 結果我賣你們
[11:43] 一包不用20塊
[11:44] 一包不到20塊
[11:45] 一包不到20塊
[11:46] 你們自己
[11:47] 扎起來
[11:48] 而且我跟你講
[11:49] 沒有那麼好買
[11:50] 我在查皮真的
[11:51] 搜尋很多
[11:52] 很多都沒有貨
[11:54] 很多沒有貨
[11:55] 因為這個很熱賣
[11:56] 很熱賣
[11:57] 很多都沒有貨
[11:58] 然後大小又剛剛
[11:59] 幹嘛啦
[12:00] 你夾住我
[12:02] 中午有喊單
[12:03] 沒有錄到公司
[12:04] 家俊幫老師
[12:05] 去官方LINE
[12:06] 小幫手
[12:07] 中午沒有錄的
[12:08] 你現在直接喊啦
[12:09] 直接喊
[12:10] 一樣價錢
[12:11] 對
[12:12] 早知道
[12:13] 應該我要開關於
[12:14] 現在直接喊
[12:15] 就錄單了
[12:16] 599是什麼東西
[12:17] 跟中午一樣的價錢
[12:18] 你中午沒有搶到
[12:19] 現在直接喊
[12:20] 我跟你講
[12:21] 這個
[12:22] 我跟你講
[12:23] 我們日本連線
[12:24] 是9月9號結單
[12:25] 結單日期算
[12:26] 要20到30的工作
[12:27] 天不幫你加
[12:28] 因為也會遇到
[12:29] 到後就幫你找出貨
[12:30] 那我不能保證
[12:31] 中秋節之前
[12:32] 會不會到
[12:33] 但如果這個東西
[12:34] 你拿來送你什麼的
[12:35] 超級讚
[12:36] 你看
[12:37] 一整箱
[12:38] 這一整箱
[12:39] 你在台灣這麼大一個
[12:40] 禮盒式的包裝
[12:41] 裡面30小包
[12:42] 你去哪裡買
[12:43] 599禮盒送裡面
[12:44] 不可能
[12:45] 絕對不可能吧
[12:46] 是不是不可能
[12:47] 今天買娘讓她
[12:48] 成為可能
[12:49] 我也覺得不可能
[12:50] 那這樣啦
[12:51] 我這
[12:52] 沒今天嫁回去
[12:53] 就是有30
[12:54] 我想起來了
[12:55] 因為我自己想要買啦
[12:56] 對啦
[12:57] 我自己想要買啦
[12:59] 加10
[13:00] 10箱大姐姐
[13:01] 吃得完
[13:02] 要確定
[13:03] 雖然我跟她
[13:04] 我們可以一起吃
[13:05] 我們兩個
[13:06] 我們這樣子
[13:07] 推劇
[13:08] 一下子
[13:09] 一包拆網
[13:10] 又去哪
[13:11] 一包拆網又去哪
[13:12] 然後兩個人
[13:13] 吃得超級開心
[13:14] 這是我們母女之間的幸福
[13:15] 現在可以
[13:16] 直接在孩子
[13:17] 匯路單
[13:18] 匯路單
[13:19] 可以
[13:20] 趕快加了599
[13:21] 要的趕快加
[13:22] 關鍵字
[13:23] 101加1
[13:24] 一箱30包
[13:25] 只要
[13:26] 599
[13:27] 你沒有聽錯
[13:28] 只要599
[13:29] 這邊要跨過標
[13:30] 你們自己把握機會
[13:31] 因為
[13:32] 這我跟你講
[13:33] 好事的東西
[13:34] 我們都是在這裡
[13:35] 天就會幫大家少貨
[13:36] 你們趕快加
[13:37] 趕快加
[13:38] 因為他們期間限定的東西
[13:39] 50週年
[13:40] 有沒有看到
[13:41] 所以期間限定
[13:42] 而且價格
[13:43] 浮動調整非常大
[13:44] 好不好
[13:45] 所以
[13:46] 有喜歡
[13:47] 趕快加起來
[13:48] 而且我跟大家講
[13:49] 其實我今天
[13:50] 賣了好事多
[13:51] 我個人是
[13:52] 心裡想說
[13:53] 我以後不要再賣
[13:54] 好事多
[13:55] 這麼大箱
[13:56] 你們都知道
[13:57] 我們的箱子
[13:58] 就這麼大
[13:59] 幫你們拆箱
[14:00] 全部都是板娘
[14:01] 幫你們洗手運費
[14:02] 我從來沒有多什麼運費
[14:03] 後來我才知道
[14:04] 別家拆箱
[14:05] 分享都要收運費的
[14:06] 有
[14:07] 我都沒有收你們運費
[14:08] 我自己拆好幾箱
[14:09] 給你們運費
[14:10] 都是我洗手
[14:11] 沒有你想像中
[14:12] 這樣你給我彈
[14:13] 我做這個料理
[14:15] 再來
[14:16] 這個也是期間限定
[14:17] 大家知道小熊餅乾
[14:19] 它是跟東京本南南
[14:21] 聯名
[14:22] 的小熊餅乾
[14:23] 然後有小和
[14:24] 有戴合我們的
[14:25] 滿兒鎮8888
[14:26] 是送小和的
[14:27] 小和他是六路
[14:29] 好不好
[14:30] 小和是六路
[14:31] 然後等一下
[14:32] 會戴合的是十二路
[14:33] 好不好
[14:34] 你們就在
[14:35] 我寫給你
[14:36] 這裡
[14:37] 他有寫給你嗎
[14:38] 我們先開小和的
[14:39] 好不好
[14:40] 先開小和
[14:41] 我們要打開吃嗎
[14:42] 小和可以吃
[14:43] 我想吃
[14:44] 你想吃
[14:45] 來
[14:46] 我們A02
[14:47] 先開小和的
[14:48] 我們不用板板對不對
[14:49] 不用板板
[14:50] 不用板板
[14:51] 不用板板
[14:52] 他們有
[14:53] 來
[14:54] 二哥想吃
[14:55] 二哥想吃
[14:56] 東京本南南家
[14:57] 這裡
[14:58] 東京本南南家
[14:59] 我們的小熊餅乾
[15:00] 二哥想吃
[15:01] 我們拆開
[15:02] 那你今天
[15:03] 如果你是
[15:04] 滿兒鎮8888
[15:05] 8888
[15:06] 不能使用紅利油
[15:08] 對
[15:09] 就會送你這個
[15:10] 然後來
[15:11] 你打開給他們
[15:12] 你使用紅利油
[15:13] 但你十副金額
[15:14] 還是要滿爸爸
[15:15] 就是十副金額
[15:16] 要滿爸爸
[15:17] 你自己看
[15:18] 怎麼用
[15:19] 然後可以送禮物
[15:20] 沒錯
[15:21] 這樣好了
[15:22] 你那個兩萬
[15:23] 就各送一個
[15:24] 最高兩萬
[15:25] 你把它塗改一下
[15:26] 兩萬
[15:27] 兩萬就有一個
[15:28] 飾品盒
[15:29] 再加一個
[15:30] OK
[15:31] 最高到兩萬
[15:32] 結果
[15:33] 我跟你講
[15:34] 這一個商品
[15:35] 你們聽好了
[15:36] 聽仔細
[15:37] 它這個是東京車站限定
[15:39] 東京車站限定的
[15:40] 除此之外
[15:41] 它今天只賣到
[15:42] 9月16號
[15:43] 這個東西就絕版
[15:44] 好貴
[15:45] 9月16號
[15:46] 這個東西就絕版
[15:47] 好貴喔
[15:48] 所以你們自己
[15:49] 把握機會
[15:50] 這個商品
[15:51] 沒有這個商品
[15:52] 猜都猜了
[15:53] 它只到9月
[15:54] 好貴喔
[15:55] 好貴
[15:56] 然後裡面就是
[15:57] 有沒有給你看
[15:58] 它裡面的圖案
[15:59] 也是那個小熊餅乾
[16:00] 抱著那個香蕉
[16:01] 你看到嗎
[16:02] 對
[16:03] 好貴
[16:04] 它是焦糖
[16:05] 焦糖口味的
[16:06] 焦糖口味
[16:07] 很好吃
[16:08] 我們先開小包
[16:09] 小包的給大家
[16:10] 你們吃那個
[16:11] 東京本南蛋糕
[16:12] 裡面的那個焦糖
[16:13] 然後外層是
[16:14] 就是正在吃那個感覺
[16:15] 對
[16:16] 外面是香蕉
[16:17] 口味裡面
[16:18] 是那個焦糖
[16:19] 我們的VIP群的
[16:20] Lite群的
[16:21] 我們那個
[16:22] 因為像
[16:23] 那個Banana的香蕉蛋糕
[16:24] 只能笑起只有7天
[16:25] 我要親自幫你們扛回去
[16:27] 所以VIP的Lite群裡面
[16:29] 我們有開那個蛋糕
[16:30] 好不好
[16:31] 所以你們如果VIP
[16:32] 想要加那個
[16:33] 那VIP就是
[16:35] 出酒出汁的
[16:36] 跟之前永久VIP
[16:37] 對
[16:38] 不會很甜
[16:39] 不會很甜
[16:40] 焦糖口味
[16:41] 就是你吃
[16:42] 東京Banana的這個蛋糕
[16:43] 剛剛有小小的
[16:44] 這個蛋糕
[16:45] 這個蛋糕裡面的
[16:47] 就是這個蛋糕裡面
[16:48] 餡的那個味道
[16:49] 餡裡面本來就有一些
[16:50] 那個焦糖
[16:51] 所以他吃起來
[16:52] 就是很像
[16:53] 東京Banana的Banana
[16:54] 那個感覺
[16:55] 對
[16:56] 我們要開架了
[16:57] 它裡面這個小的是
[16:58] 六代
[16:59] 東京車站限定
[17:00] 期間限定
[17:01] 要你就買
[17:02] 不要我們就買
[17:03] 九月就決辦
[17:04] 對
[17:05] 因為這個我都要去
[17:06] 現場幫你們扛貨的
[17:07] 沒錯
[17:08] 這是現場去掃貨的東西
[17:09] 來
[17:10] 今年要的朋友
[17:11] 笑起幫我看一下
[17:12] 來
[17:13] 802加1
[17:14] 我們先賣小盒的
[17:15] 來
[17:16] 這幾次送人都很棒
[17:17] 你們先自己加起來
[17:18] 沒錯
[17:19] 因為我也很擔心
[17:20] 如果太晚去買
[17:21] 就又被買光了
[17:22] 這個東西在只到九月
[17:24] 這個我跟你講
[17:25] 這東西九月十六號
[17:26] 就決辦了
[17:27] 就買不到了
[17:28] 沒錯
[17:29] 我十月要去東京
[17:30] 我自己買
[17:31] 抱歉
[17:32] 買不到
[17:33] 好
[17:34] 來
[17:35] 802加1
[17:36] 今天來
[17:37] 小盒的
[17:38] 六入也聽好了
[17:39] 802加1
[17:40] 小盒的六入
[17:41] 你要小盒的話
[17:42] 直接報答
[17:43] 802加1
[17:44] 給大家
[17:45] 399
[17:46] 帶回家
[17:47] 才399
[17:48] 399
[17:49] 399
[17:50] 如果你要小盒的
[17:51] 802
[17:52] 802
[17:53] 六入的399
[17:54] 那803是十二入
[17:55] 我跟你講
[17:56] 這個你們要
[17:57] 現在還是打來喊
[17:58] 因為這個東西
[17:59] 你們很難真的
[18:00] 要去現場上的東西
[18:01] 來
[18:02] 大盒的
[18:03] 它裡面
[18:04] 有不同的小熊
[18:05] 的小熊餅乾
[18:06] 的那個圖案
[18:07] 好不好
[18:08] 然後裡面
[18:09] 會有12袋
[18:10] 12袋
[18:11] 裡面有12袋
[18:12] 來
[18:13] 要大盒的
[18:14] 699
[18:15] 帶回家
[18:16] 小的399大的
[18:17] 它還一倍
[18:18] 應該要798
[18:19] 對 應該要798
[18:20] 結果你買699
[18:21] 買大盒的
[18:22] 比較划算
[18:23] 直接買大盒
[18:24] 大盒的只要699
[18:25] 大799
[18:26] 799
[18:27] 大盒大盒
[18:28] 699
[18:29] 你說要說700
[18:30] 大盒應該要700多
[18:31] 我跟你講
[18:32] 商城加799
[18:33] 給線上的朋友
[18:34] 699
[18:35] 好不好
[18:36] 然後校期
[18:37] 可以到2027年的4月
[18:38] 4月
[18:39] 因為12袋
[18:40] 12袋
[18:41] 然後它小熊餅乾的圖案
[18:42] 它這裡有寫至少
[18:43] 10個樣式
[18:44] 超可愛
[18:45] A0
[18:46] A0
[18:47] A0是小的399 6袋
[18:48] A0
[18:49] 是大盒的12袋
[18:50] 沒錯
[18:51] 12袋
[18:52] 然後商城加
[18:53] 開798才對
[18:54] 他們是跨界聯名
[18:55] 線上加699
[18:56] 好不好
[18:57] 線上加699跨界聯名
[18:58] 男的
[18:59] 男的有這個聯名的活動
[19:00] 你們是保護機
[19:01] 對 他直到9月
[19:02] 剛好我們遇到了
[19:03] 對 都要幫你們去扛
[19:04] 我們到時候
[19:05] 禮拜一就會去
[19:06] 幫你們扛這些東西
[19:07] 禮拜一就會截止手單
[19:08] 到時候你們
[19:09] 人家一家
[19:11] 對
[19:12] 這個就是期間限定
[19:14] 然後聯名限定
[19:15] 就是9月16之後
[19:16] 你來東京也買不到
[19:18] 買不到
[19:19] 然後就有東京車站限定
[19:20] 對
[19:21] 這是一個期間限定
[19:22] 然後你們要小盒的
[19:23] 就買小盒
