[140:00] 在好市多現場也有賣一標
[144:24] 就800克啦
[144:25] 800克的意思
[144:26] 然後這個
[144:26] 哦
[144:27] 有重量你沒收到運費
[144:28] 很重很重
[144:29] 一罐不用200塊啦
[144:31] 好不好
[144:31] 那一罐不用200塊
[144:32] 大家自己加起來一罐不用200塊
[144:34] 我這覺得是超
[144:36] 必買的必買的
[144:37] 沒錯
[144:37] 必買必買的
[144:38] 然後重點是你今天買
[144:39] 買的是日本境內版
[144:41] 日本境內版的
[144:41] 你們就是直接
[144:42] 自己不用不用想了
[144:44] 他自己帶來學的胡椒
[144:45] 大家都會用的到
[144:47] 不管自己今天家裡會煮飯
[144:48] 或沒有煮飯
[144:49] 你平常可能叫個玉米湯裡面
[144:50] 是不到撒胡椒
[144:51] 對啊
[144:52] 哎
[144:52] 有味啊
[144:52] 然後調味
[144:53] 玉米湯有沒有
[144:54] 加胡椒鹽差很多耶
[144:55] 沒錯
[144:56] 你們自己
[144:56] 差很多
[144:57] 自己加起來自己加起來
[144:58] 也是天分許願的
[144:59] 我覺得我們這款胡椒
[145:00] 你們可以到底試試看
[145:02] 來下一標
[145:03] 來
[145:03] 再來這個很厲害哦
[145:05] 一樣是香菇乾好不好
[145:07] 香菇乾香菇本人
[145:09] 香菇本人
[145:10] 來
[145:11] 我跟大家講
[145:11] 你們要許願
[145:12] 攝取許用
[145:13] 我們陸續幫你們登記
[145:15] 但不一定有哦
[145:16] 好不好
[145:16] 不一定有
[145:17] 先跟大家講
[145:18] 不一定有
[145:18] 我們盡量幫大家找找看
[145:20] 來
[145:20] 再來這個是香菇本人
[145:22] 好不好
[145:23] 香菇乾本人
[145:24] 香菇乾本人
[145:25] 來
[145:25] 我跟大家講哦
[145:26] 這個一包
[145:27] 我看一下一包是300克
[145:29] 夾鏈袋包裝
[145:31] 一包是300克
[145:32] 來給你們看一下哦
[145:33] 香菇本人
[145:34] 好不好
[145:35] 他是香菇本人
[145:36] 香菇本人
[145:37] 然後我手上的效期
[145:38] 至少到27年的1月哦
[145:41] 他們如果再去買
[145:42] 可能會更新
[145:43] 我來吃吃看
[145:47] 好酥脆哦
[145:47] 對啊 聽到有聲音
[145:49] 你聽到
[145:50] 好酥脆
[145:50] 而且他是鹹的
[145:52] 他這起來是鹹的
[145:53] 上面是有那個
[145:55] 酥酥脆對香香鹹鹹的感覺
[145:58] 很好吃
[145:59] 就是香菇餅乾耶
[146:01] 好不好
[146:01] 香菇餅乾
[146:03] 很好吃耶
[146:03] 這個
[146:04] 這很適合配
[146:05] 也很適合配酒
[146:06] 或者是你今天呢
[146:08] 煮個飯啊炒飯啊
[146:09] 可以把它當配料
[146:10] 很好吃
[146:11] 超好吃的
[146:12] 單吃就很好吃
[146:12] 你吃它很好吃
[146:15] 然後呢
[146:16] 新鮮香菇製作
[146:17] 不含人工香料
[146:19] 不含人工色素跟防腐劑
[146:21] 超好吃的
[146:22] 很脆耶
[146:23] 很好吃
[146:24] 超脆
[146:24] 超好吃耶
[146:25] 嗯
[146:26] 而且他是用那個
[146:27] 低溫少油
[146:29] 低溫少油的那個烘製
[146:31] 不是用炸的
[146:32] 好不好
[146:32] 所以完整保留香菇的這種
[146:34] 自然
[146:35] 它的香菇的那種
[146:36] 更好吃耶
[146:37] 但是煮脆的口感
[146:38] 很好吃耶
[146:38] 超好吃
[146:39] 他剛剛就有說這個超好吃
[146:41] 超脫漸
[146:43] 好吃
[146:45] 素的嗎
[146:45] 你幫幫幫
[146:47] 香菇本來
[146:49] 香菇本來
[146:50] 好好吃哦
[146:51] 我來我來
[146:51] 跟想的不一樣
[146:52] 跟我想的不一樣
[146:53] 跟想的更好吃
[146:54] 很好吃
[146:55] 跟想的更好吃
[146:56] 炒一個很好吃
[146:57] 嗯
[146:58] 天啊
[146:59] 欸
[147:00] 超好吃耶
[147:02] 沒有加
[147:02] 對
[147:03] 他沒有加那個
[147:03] 沒有加一些味精啊
[147:05] 沒有加兩個
[147:06] 我也覺得這個配酒超好吃
[147:08] 嗯
[147:08] 好不好
[147:09] 來
[147:09] 這個很好吃哦
[147:11] 放濃湯
[147:12] 可以
[147:12] 變軟一點
[147:13] 但是他單吃
[147:14] 單吃超脆
[147:16] 超級好吃
[147:17] 嗯
[147:18] 就是
[147:19] 你吃下去的口感
[147:20] 說哇
[147:20] 天啊
[147:21] 怎麼那麼好吃
[147:22] 好不好
[147:23] 然後夾鍊帶包裝
[147:24] 然後你就可以直接
[147:25] 就是吃到香菇本人的養分
[147:27] 好不好
[147:27] 小朋友可以直接當作
[147:29] 那個
[147:29] 點心零食吃也都可以
[147:31] 來
[147:31] 這個香菇要的是A31
[147:34] 好不好
[147:34] A31加1
[147:36] 我再來一次哦
[147:37] 沒有添加人工色素
[147:38] 沒有添加香料
[147:39] 沒有添加防護劑
[147:41] 好不好
[147:42] 全素有讚
[147:43] 然後你也可以加在沙拉
[147:44] 加在濃湯裡面
[147:46] tongtongtong
[147:46] 然後他他選用的是那個澳洲
[147:48] 澳洲進口的那個香菇
[147:50] 澳洲進口的香菇
[147:51] 還是日本限定的
[147:52] 然後日本的
[147:52] 日本品牌做的
[147:54] 然後是使用澳洲進口的香菇
[147:56] 來
[147:57] 香菇現在要賣了等等
[147:58] 好不好
[147:59] 來
[147:59] A31加1
[148:00] 今天這一包給大家
[148:02] 商城價
[148:03] 490
[148:04] 490
[148:05] 然後線上價
[148:06] 469塊
[148:07] 469
[148:08] 我今天多加幾包
[148:09] 千萬不要只加一包
[148:11] 這標真的是完全沒有負擔的意思
[148:13] 現在很多新朋友
[148:15] 新朋友先幫我們加入
[148:16] 先VIP社群才可以喊單
[148:18] 好不好
[148:19] 新朋友先幫我們加入VIP社群
[148:21] 不然是沒辦法買東西的
[148:22] 接下來新朋友點下面的按鈕
[148:23] 開啟連結
[148:24] 進去後直接轉跳我們的官方LINE社群
[148:27] 加入後
[148:28] 你可以裡面可以
[148:29] 小胖胖幫我們添我們的
[148:30] 零食高屋巾的那個
[148:32] 新朋友100元高屋巾
[148:33] 可以做零食
[148:34] 的規則
[148:34] 可以去領我們新朋友高屋巾
[148:36] 再回來喊單
[148:37] 當然會來喊單
[148:38] 然後記得我們裡面會有
[148:39] 我們這是
[148:40] 日本連線的結單規則
[148:41] 因為我們才第一天而已
[148:42] 好不好
[148:43] 才第一天而已
[148:44] 然後剛剛看社群
[148:45] 超多人瘋狂許願
[148:46] 我們會幫你們登記起來
[148:48] 然後幫你們找找看
[148:49] 因為不見得每樣東西
[148:50] 剛好都有
[148:51] 我們會盡力幫你們找找看
[148:53] 好不好
[148:54] 來
[148:54] 這個相顧真的不要只加一包
[148:56] 加一包你會後悔
[148:57] 超好吃的
[148:58] 加一包你會後悔好不好
[148:59] 還不是什麼
[149:00] 來
[149:00] 線上喊單的朋友
[149:01] A31加1只要400
[149:03] 69塊
[149:04] 好不好
[149:05] 469塊
[149:06] 來
[149:07] 剛剛計時兩分鐘
[149:08] A31有家的朋友
[149:10] 等下兩分鐘時間到
[149:12] 幫我抽一位
[149:12] 我再多送他一包
[149:14] 好
[149:14] 好不好
[149:15] 我們要不定時玩遊戲啊
[149:16] 好不好
[149:17] 太好了
[149:18] 就是剛剛覺得很驚喜好不好
[149:21] 來
[149:21] 倒數兩分鐘
[149:22] 兩分鐘內有喊單的朋友
[149:24] 有喊A31相顧脆便的朋友
[149:26] 兩分鐘時間到
[149:27] 小幫手會幫我抽出一位
[149:29] 直接把你
[149:30] 我不管你買幾包
[149:31] 反正把你直接免費送你一包
[149:32] 好不好
[149:33] 反正要免費加送你
[149:34] 很硬嗎
[149:35] 他是應該講是脆
[149:36] 他不是硬
[149:37] 好不好
[149:37] 我這遊戲算顧乾會脆
[149:39] 有人稱讚他很硬
[149:40] 這完全不會
[149:41] 他是脆的
[149:41] 他很酥脆
[149:42] 很好吃
[149:43] 酥脆的
[149:43] 酥脆的
[149:44] 酥脆的
[149:45] 我真的覺得
[149:46] 我們吃下去
[149:46] 每個人都很驚豔的那種感覺
[149:48] 然後又跟你在那個南大門
[149:50] 也也買的那個香顧乾
[149:51] 又不一樣
[149:52] 又不一樣
[149:54] 來
[149:54] 後面其他
[149:55] 等等這個已經泡了
[149:56] 但是他要等
[149:57] 他要等一下
[149:58] 才看得到
[149:59] 才看他的效果
[150:00] 因為他是隔夜
[150:01] 變慢
[150:02] 他其實是你前一晚泡好
[150:04] 然後隔天早上
[150:06] 可以喝當早餐的
[150:07] 因為我們要快速讓你們看到
[150:09] 所以我們剛拿去泡了
[150:11] 至少要先等兩個小時
[150:12] 所以等一下
[150:13] 等一下
[150:14] 這個
[150:14] 這個
[150:15] 你現在看到的
[150:15] 全部都是被人家買光了
[150:18] 我們等一下
[150:18] 幫你們做介紹
[150:19] 你們稍等一下
[150:20] 已經拿去泡了
[150:21] 好不好
[150:22] 來
[150:22] 喊到爆了
[150:23] 來倒數90秒鐘
[150:24] 等一下我們直接到
[150:26] 我會抽一位
[150:26] 直接加送你一包
[150:28] 好不好
[150:29] 直接加送你們一包
[150:31] 就是抽到那位
[150:31] 直接香菇隨便
[150:32] 因為我個人覺得超好吃
[150:34] 直接加送一包
[150:35] 來
[150:36] 再來我先去準備下一瓢
[150:37] 好不好
[150:39] 來
[150:39] 時間到
[150:40] 小幫手幫我抽
[150:42] 再來剛有人懂點菜了
[150:44] 好事多
[150:45] 銷售No.1
[150:47] 好不好
[150:48] 我今天去好事多
[150:49] 我跟你講
[150:49] 這個東西
[150:50] 它是這種
[150:51] 好幾版車放在那邊
[150:54] 028431
[150:56] 因為你知道嗎
[150:56] 日本人最愛吃這種
[150:58] 這種類似青枝酵素的東西
[151:01] 然後呢
[151:02] 這個呢
[151:02] 是他們家最有名的
[151:04] 為什麼
[151:04] 因為國產
[151:05] 好不好
[151:06] 國產的有機大賣落葉
[151:08] 然後完全沒有添加
[151:10] 100%的青枝
[151:12] 剛剛香菇素質可以吃
[151:15] 它是香菇本人
[151:17] 好不好
[151:17] 香菇本人
[151:19] 然後裡面呢
[151:19] 有162包
[151:22] 好不好
[151:22] 162包
[151:24] 那青枝酵素怎樣
[151:25] 蔬菜攝取不夠的人
[151:27] 然後可以用青枝酵素來補足
[151:29] 因為我就在這邊跟大家講
[151:32] 你一天有吃
[151:32] 不要說有吃到三種蔬菜嗎
[151:34] 了不起三種
[151:36] 那呢
[151:37] 吃的量也不知道夠不夠
[151:39] 按照吃水果
[151:39] 像我本人
[151:40] 很認真在想
[151:41] 我們有吃青菜嗎
[151:42] 沒有耶
[151:44] 真的耶
[151:44] 來這邊
[151:45] 我們都吃微波
[151:46] 然後忙啊
[151:47] 也沒有
[151:48] 也完全沒有吃到青菜好不好
[151:50] 來
[151:50] 這個是呢
[151:51] Cosco
[151:53] 日本Cosco
[151:54] 銷售No.1
[151:55] 來
[151:56] 這個裡面呢
[151:56] 一樣
[151:57] 日本人
[151:57] 他們就很喜歡補充那青枝酵素
[151:59] 因為大家知道
[152:00] 日本人很養生嘛
[152:02] 那蔬菜如果吃的不夠
[152:03] 就有很多問題嘛
[152:05] 腸胃道就是不通嘛
[152:06] 會遍密嘛
[152:07] 各種各樣的問題
[152:08] 對
[152:09] 然後呢
[152:10] 就是非常方便
[152:10] 一次一包
[152:12] 你就是把粉末
[152:13] 然後直接加水攪一攪
[152:15] 攪一攪
[152:15] 然後直接就可以喝
[152:16] 它可以補充我們什麼呢
[152:18] 可以補充我們的膳食纖維
[152:20] 可以補充我們的維生素
[152:21] 礦物質
[152:22] 多種營養的成分在裡面
[152:24] 那裡面是百分之一百的
[152:27] 這個青枝好不好
[152:29] 還是沒有
[152:30] 沒有添加任何
[152:31] 沒有添加糖
[152:32] 沒有添加香精
[152:33] 沒有添加色素
[152:34] 沒有添加防補劑
[152:36] 好不好
[152:36] 排便不是唱的人
[152:38] 這個喝了
[152:38] 雖然你們吃葡萄酵素果凍
[152:41] 很少人排便不是很差
[152:42] 對啊
[152:43] 但呢
[152:43] 如果你想要
[152:45] 這個
[152:45] 因為應該有點許願
[152:47] 我們一樣就是出給大家
[152:48] 好不好
[152:49] 葉酸號碼
[152:50] 你說鐵加葉酸
[152:51] A-0請
[152:52] 換TRAIN
[152:53] A-0
[152:54] 在前面
[152:57] 對
[152:57] 稍等一下嘛
[152:58] 以後我們要登記起來
[152:59] 我覺得就不
[153:00] 我看別家的
[153:01] 別家都會登記
[153:03] A-07好不好
[153:04] 鐵跟葉酸的那個軟糖是A-07
[153:07] 加3還有組合價好不好
[153:09] 來這個要的朋友
[153:11] 然後你可以直接這樣子喝
[153:12] 那如果說你不敢直接單喝
[153:14] 你也可以跟牛奶豆漿
[153:15] 加在一起喝都可以
[153:17] 冷泡熱泡都可以
[153:18] 全家大小都可以喝
[153:20] 因為有些人會像我們的
[153:21] 葡萄酵素果凍12歲以下
[153:22] 就不行嘛
[153:23] 那這個呢
[153:24] 小朋友要喝都可以
[153:25] 小朋友要喝都可以
[153:26] 來這個要的呢
[153:28] 那總共裡面有跟大家講
[153:29] 162包
[153:31] 好不好
[153:32] 162包
[153:33] 那每一包都是三克
[153:35] 好不好
[153:35] 那一天一包
[153:36] 162包
[153:37] 哇可以喝幾天
[153:39] 162包出於30
[153:41] 可以喝五個月
[153:42] 那你如果全家大小一起
[153:44] 一起喝
[153:45] 就會比較快好不好
[153:46] 來這個要的朋友打
[153:48] A-33、A-32
[153:49] 看一下哦
[153:50] 上了第A-3
[153:52] 其實他後面有教你
[153:53] 有很多調味的方式
[153:55] 譬如說你可以
[153:56] 加香蕉啦
[153:57] 加牛奶啦
[153:58] 加豆漿啦
[153:59] 有各種
[154:00] 各種可以
[154:01] 對可以調味的方式
[154:02] 如果你不敢直接喝清汁
[154:04] 你可以加很多調味
[154:06] 有一點像抹茶
[154:08] 對
[154:09] 他喝起來是九州抹茶的味道
[154:11] 九州抹茶的味道
[154:12] 他這款是升級過
[154:13] 所以他不是那種清草茶
[154:15] 你會講
[154:15] 他是抹茶的味道
[154:16] 很好喝很清爽
[154:18] 所以大女小孩都很接受的
[154:19] 對很清爽
[154:21] 對
[154:21] 他不是抹茶味的
[154:23] 蔬菜的味道不是
[154:25] 我要開家囉
[154:26] 剛剛講哦
[154:27] 100
[154:28] 162包
[154:29] 可以
[154:29] 如果你是一個人喝
[154:30] 可以喝五個月
[154:31] 人家大小一起喝
[154:32] 你就自己多賣幾盒
[154:34] 來 今天要的朋友
[154:35] A-32加1
[154:37] 今天給大家
[154:39] 商城價
[154:40] 最有的賣到將近1800塊
[154:42] 1900塊來
[154:43] 今天不用
[154:44] 本來今天開一個價錢
[154:45] 1500塊都不用
[154:47] 來 今天要的朋友
[154:48] 商城價1399
[154:49] 現在價1299
[154:51] 待會兒加
[154:51] 1299
[154:52] 1299
[154:53] 各位朋友
[154:53] 我剛剛講可以喝幾天
[154:55] 162天
[154:57] 一天花你多少錢
[154:59] 8塊錢
[155:00] 8塊錢
[155:00] 你買得到一份青菜嗎
[155:02] 買不到
[155:03] 20好不好
[155:04] 你鹹水精一份菜
[155:05] 都要多少錢了
[155:06] 啊一點點
[155:07] 好不好
[155:08] 滷味一點點
[155:09] 好不好
[155:10] 今天花8塊錢
[155:11] 就可以讓你補充我們的
[155:13] 膳食纖維
[155:13] 補充我們的維生素
[155:15] 補充我們的礦物質
[155:16] 然後才喝起來口感
[155:17] 是像抹茶一樣
[155:18] 我個人其實不喜歡喝抹茶
[155:19] 但我喝這個
[155:20] 我覺得很清爽
[155:21] 很清爽很好喝
[155:22] 可以加豆漿
[155:23] 可以加牛奶
[155:24] 好不好
[155:25] 百分之百日本國產的這個
[155:27] 清汁
[155:28] 如果長期就是
[155:29] 排便不順暢
[155:30] 小朋友我跟講啊
[155:31] 如果你是12歲以上
[155:32] 你就可以直接吃我們家的
[155:34] 不浪費我果凍
[155:35] 當然你們家的小寶貝
[155:37] 如果12歲以下
[155:38] 會有排便的問題
[155:39] 你就可以給他喝這個
[155:40] 加在豆漿
[155:41] 加在牛奶裡面給他喝
[155:43] 可以改善他排便困難的
[155:44] 排便不順暢的問題
[155:46] 來要的趕快加起來
[155:47] 今天現在價
[155:48] 1299再回家
[155:50] 1299再回家
[155:51] 超誇張的價錢
[155:52] 別人真賣到1899去了哦
[155:55] 我今天1299
[155:56] 限省一盒600塊哦
[155:57] 你今天呢
[155:58] 買兩盒等於呢
[156:00] 跟別人買兩
[156:01] 怎麼講
[156:02] 跟別人買一盒等於
[156:03] 可以跟我買兩盒的概念
[156:04] 好不好
[156:05] 來這個要的
[156:06] 你們自己加起來
[156:07] a32加1
[156:10] a32加1
[156:11] 來再來你要出什麼
[156:13] 媽媽們的救星
[156:14] 祖父的救星好不好
[156:17] 祖父的救星
[156:18] 來
[156:20] 今天這隻
[156:21] 我跟你講
[156:22] 他超級厲害
[156:23] 我撈出來給你看
[156:24] 多厲害多厲害
[156:25] 他是高密度的
[156:27] 我剛有研究了一下
[156:28] 我剛研究了一下
[156:30] 來他是不是
[156:31] 你覺得說
[156:32] 他是怎麼普通的那種
[156:34] 刷的那個馬國全不是哦
[156:36] 新朋友你點一下螢幕
[156:38] 下面會有時間走
[156:39] 只有我們家的直播
[156:41] 有這樣子
[156:41] 你點一下螢幕
[156:42] 下面直接從哪裡往前滑
[156:44] 好不好
[156:45] 然後你如果想要知道
[156:46] 哪一個商品是哪一標
[156:47] 哦你可以
[156:48] 在我們社群裡面發問
[156:50] 小方所會告訴你是哪一標
[156:51] 好不好
[156:52] 或者加入社群
[156:53] 你可以看得到
[156:54] 哦我們都會貼標號給你們
[156:56] 好不好來
[156:57] 他這個幹嘛
[156:58] 是我們
[156:59] 他這個是日本這邊有沒有
[157:00] 我跟你講日本家庭主婦的救星
[157:02] 救星好事多
[157:04] 他們清潔用品裡面的
[157:05] tap系列的也是前面
[157:07] 前幾名
[157:08] 然後我跟你講
[157:09] 他用的是什麼
[157:10] 他的特色是什麼來是什麼
[157:11] 他今天這個你有看到這細毛嗎
[157:13] 對都是高密度的
[157:15] 高密度那個
[157:15] 整個都是
[157:16] 整個毛毛都是高密度的
[157:17] 哇
[157:18] 所以他在非常容易
[157:19] 灰塵什麼的毛髮頭髮都可以
[157:22] 香蕉髒物都可以
[157:23] 然後重點是
[157:23] 他因為他很細嘛
[157:25] 他可以很完美的貼很的
[157:27] 那個房間的角落
[157:28] 哇角落都可以
[157:30] 那種你吸塵器吸不到啊
[157:32] 他就會直接做的灰塵啊
[157:34] 毛髮就會直接淋在上面
[157:36] 淋在上面
[157:36] 你會覺得說
[157:37] 蛤那明年生日會麻煩嗎
[157:39] 我跟你講
[157:39] 他今天厲害是他有送你這個盒子
[157:41] 他盒子裡面有一個特殊的設計結構
[157:43] 你只要今天放進去
[157:45] 咬一咬
[157:46] 就把它弄下來
[157:46] 他就把它變一個集成的盒子了
[157:48] 太酷了吧
[157:49] 然後你今天我跟你講
[157:50] 重點是他是可以反覆使用的
[157:52] 你今天等到可能用了十四二十次
[157:54] 上面有下面一年了灰塵嘛
[157:57] 你就你就拿那個吸塵器往這邊吸一下
[158:00] 或是拿濕紙巾往這邊把它拍一下
[158:02] 你就可以這個就可以繼續反覆
[158:03] 太厲害了
[158:04] 他就是這麼厲害
[158:04] 他是一個很高科技的專利
[158:06] 不使用
[158:07] 可以重複使用
[158:07] 可以重複使用
[158:08] 然後這個海綿可以拆下來對不對
[158:10] 海綿可以拆下來
[158:11] 海綿可以拆下來
[158:12] 還可以翻面
[158:13] 還可以翻面
[158:13] 然後這個很方便
[158:14] 比如說我們什麼
[158:15] 電視機下面啦
[158:16] 櫃子下面啦
[158:18] 是不是插不到嘛
[158:20] 我有抹布插不到嘛
[158:22] 這個直接進去
[158:22] 滷味就乾淨了
[158:24] 高彈性的高彈性的那一種
[158:26] 然後我跟你講
[158:26] 這真的是祖父救星
[158:28] 你們知道嗎
[158:28] 日本家人祖父的救星
[158:30] 就知道他多好用
[158:31] 他不是說我們自己在直播上面講而已
[158:33] 對
[158:34] 我們今天真的是
[158:35] 因為他真的是已經是到
[158:36] 大家家人都會買這一款商品了
[158:39] 剛剛A32裡面有一百五十幾包耶
[158:42] 剛剛A32的清汁
[158:43] A32是一百六十二包
[158:44] 一百六十二包好不好
[158:46] 那一百六十二包
[158:47] 他這應該是這一款
[158:48] 應該是這一隻應該是不能拆的
[158:50] 這裡
[158:50] 先你拆嗎
[158:51] 不是 他是拆這個
[158:53] 這一隻不能拆
[158:54] 他是這一盒可以拆
[158:56] 對不對
[158:57] 這一盒可以拆的
[158:57] 是不是上面寫在什麼
[158:58] 沒有 還是這盒
[158:59] 海綿啦 清潔海綿
[159:01] 海綿這個我跟你講
[159:01] 海綿是可以直接拉下來
[159:02] 我剛剛有拿過了
[159:03] 海綿是可以直接
[159:04] 因為它這個是直接
[159:06] 你們說的會疼
[159:07] 可能欺負在上面嘛
[159:08] 就拿吸塵器或是你把這邊
[159:10] 拆一下
[159:11] 你說的會疼就直接
[159:12] 就直接在上面了
[159:13] 沒錯
[159:14] 對
[159:14] 你完全超級無理方便
[159:16] 祖父救星啦
[159:17] 因為你要火鍋有時候還
[159:18] 還插不起來
[159:19] 那些會竟然插不起來
[159:21] 整個毛體都是用高密度的
[159:23] 海綿不用用清水清洗
[159:24] 就是在這邊集塵
[159:26] 直接進來
[159:27] 它就乾淨了
[159:30] 你只要每次多用幾次
[159:31] 不用水洗
[159:32] 灰塵就會集中在整個裡面
[159:33] 對
[159:33] 就在這裡面
[159:34] 所以超級方便
[159:35] 黑客氣
[159:36] 來 把你開架
[159:37] 我跟你講
[159:37] 這你不用煩惱說好不好用啦
[159:40] 人家都已經是
[159:41] 日本家庭祖父大力推薦
[159:44] 所有人自己去查他的網路評價
[159:47] 沒有人有他的副評
[159:48] 大家都是一度高度好評的
[159:51] 來 今天要的我們打A33-1
[159:54] 好不好
[159:55] 來這一隻今天
[159:57] 外面賣到790塊
[159:59] 好不好
