[100:00] 這個是呢
[102:32] 軟糖的這種劑型
[102:34] 然後大人小孩都會喜歡的
[102:36] 沒錯來今天三個月份的
[102:39] 三個月份的這個
[102:40] Omega3的魚油軟糖
[102:42] 今天要的朋友關鍵字
[102:44] 上面不是有跑馬燈嗎
[102:46] 允斐你幫我看一下跑馬燈
[102:47] 先幫我加入
[102:48] 頁面上面的VIP社群
[102:49] 你可以幫忙講一下嗎
[102:50] 好來新朋友
[102:52] 來我跟妳講
[102:53] 來新朋友的話
[102:54] 新朋友加入LINE
[102:55] 我要跟妳講
[102:56] 新朋友的話
[102:57] 可以幫我們看一下
[102:58] 我們上面有我們
[102:59] 完整的跑馬燈
[103:00] 直訊K月的碗裡面
[103:01] 有我們的
[103:02] 預費規則等等的
[103:03] 跟結單時期
[103:04] 時限都在裡面
[103:05] 來下面這邊有個很大很大的按鈕
[103:07] 是新朋友加入VIP社群
[103:09] 點進去後就會轉跳到我們的LINE
[103:11] 先幫我加入我們的官方LINE
[103:13] 才能可以進來回來很單
[103:14] 才能回來很單
[103:15] 那裡面的話
[103:16] 會引導妳去怎麼領
[103:17] 一百元的購物金
[103:18] 一百元的購物金
[103:18] 這個沒有分大
[103:19] 大人小孩好不好
[103:21] 他就是如果你不敢吃這種
[103:23] 這種膠囊狀的
[103:25] 你就可以吃這種
[103:26] 機能性的軟糖
[103:27] 然後小朋友
[103:29] 小朋友會吃軟糖
[103:30] 就可以吃了
[103:31] 大人也可以吃
[103:32] 所以他不分大人小孩
[103:33] 都可以吃
[103:34] 他是一個Omega3
[103:35] 然後裡面附含DHA跟
[103:37] 跟EPA
[103:39] 跟EPA的這個
[103:41] 跟那個的魚油在裡面好不好
[103:44] EPA有18ng
[103:45] 然後DHA有182ng
[103:48] 然後大人小朋友都可以吃
[103:50] 總共是一百日份
[103:51] 就是有一百顆
[103:52] 來要的A22加1
[103:55] 來價格給我看一下
[103:56] 來今天給大家看
[103:57] 三個月份哦
[103:58] 你們要聽好了哦
[103:59] 三個月份
[104:00] 來今天也不用什麼一千多塊啦
[104:02] 今天一千塊都不用給大家
[104:05] 來今天要的朋友
[104:06] 三成價799
[104:08] 線上價688帶回家
[104:10] 688
[104:11] 三個月我告訴你們
[104:13] 688
[104:14] 三個月
[104:15] 你們知道一個月多少錢嗎
[104:17] 229塊
[104:18] 來各位一天多少錢
[104:20] 7塊6
[104:22] 7塊6給你吃魚哦
[104:24] 好不好
[104:25] 所以如果
[104:26] 哎小寶貝啊
[104:27] 已經會吃糖果了
[104:28] 會吃軟糖的好不好
[104:30] 就可以參考吃這個
[104:32] 好市多非常火紅的
[104:34] 因為前面我剛剛跟人家講嘛
[104:36] 我們有什麼葉酸啊
[104:37] 鐵啦
[104:38] 各種軟糖
[104:39] 然後這是最新最新的一款
[104:41] 他是把Omega
[104:42] 哦Omega3魚油
[104:44] 直接做成的軟糖
[104:45] 而且完全沒有什麼魚的味道
[104:48] 直接是芒果味道非常好吃好不好
[104:50] 小朋友也會跟你一樣的時候
[104:51] 小朋友會主動
[104:52] 但是一天只吃一顆就可以了
[104:54] 不要多吃好不好
[104:56] 不要多吃啊
[104:56] 我建議大家芒果味道芒果味道
[104:59] 因為嘉義是三個月
[105:01] 啊一百天啦一百天
[105:02] 如果你家裡不只一個人要吃
[105:04] 你們自己要多加幾盒
[105:05] 好不好
[105:06] 自己要多加幾盒
[105:07] 然後我手上的效期
[105:08] 至少到27年的3月去了
[105:10] 哦自己多加幾盒
[105:11] 尤其是小朋友
[105:12] 補充DHA會增進他的腦力發展
[105:15] 然後我也會讓他比較專注力提升
[105:17] 然後大人一樣可以吃魚油
[105:19] 魚油的好處很多
[105:21] 然後如果你等一下想要增振大人的
[105:23] 大人版的魚油
[105:25] 等一下就下一標也會賣好不好
[105:27] 下一標也會賣
[105:28] 來這個要的自己加囉
[105:30] 這個我忘了運費都沒有算到了
[105:32] 好不好運費都沒有算到
[105:33] 線上含單的朋友688
[105:36] 對做服務的而已好不好
[105:38] 做服務的而已
[105:39] 線上含單的朋友線上加688
[105:42] 你們自己多加幾盒
[105:43] 因為這種東西買越多
[105:45] 省越多好不好
[105:46] 買越多省越多
[105:48] 今天你要說這個嗎
[105:48] 對啊大人的魚啊
[105:50] OK
[105:51] 來好事多的
[105:53] 保健食品大家知道
[105:54] 都是非常有名
[105:55] 非常火紅大家去都會搶的
[105:57] 阿拉斯加鮭魚
[105:59] 如果你要大人版的魚油
[106:01] 一樣是日本好事多限定的
[106:03] 來他裡面是野生的
[106:06] Omega3野生阿拉斯加鮭魚油
[106:09] 那裡面有540顆
[106:12] 好不好
[106:13] 那他的鮭魚油是來到330
[106:15] 333mg好不好
[106:17] 333mg
[106:18] 那是純淨的阿拉斯加海域
[106:20] 捕撈出來的天然鮭魚
[106:22] 用低溫壓榨的技術
[106:24] 提取出百分之一百的
[106:26] 領機出炸魚油
[106:28] 然後裡面天然的
[106:29] Omega3的脂肪酸
[106:31] 每一顆就有333mg
[106:33] 天然的鮭魚油
[106:35] 然後呢可以
[106:37] 富含人體沒有辦法自行合成的
[106:38] DPA跟DHA
[106:41] 然後裡面呢
[106:42] 還有我們天然的維生素
[106:43] ADE在這個裡面
[106:45] 然後你就知道嘛
[106:47] 魚油對大家講嘛
[106:48] 他就是血管的青道夫嘛
[106:50] 然後可以增加我們的智力發展
[106:52] 然後呢有很多好處嘛
[106:54] 現在還有說預防
[106:55] 你知道增加智力發展可以這樣
[106:57] 老人家可以預防他
[106:58] 就是旺東旺西的
[107:00] 小朋友可以提升他專注力
[107:02] 好不好
[107:03] 然後呢
[107:04] 他可以舒緩很多
[107:05] 我們身體慢性發炎的各種症狀
[107:07] 你要看一下一天吃幾顆
[107:09] 來
[107:10] 魚油的東西跟葉皇叔的建議
[107:12] 在餐後吃
[107:14] 那呢
[107:15] 成年人我們建議一天
[107:17] 就是吃三顆
[107:18] 三顆
[107:20] 餐後吃一天吃三顆
[107:22] 所以他有540顆
[107:24] 來
[107:24] 你們知道這樣一罐可以吃
[107:26] 180天
[107:28] 180又也是三個月的份量
[107:29] 裡面有540顆
[107:31] 每天吃三顆可以吃180天
[107:34] 所以可以吃半年
[107:36] 半年
[107:37] 超級划算
[107:39] 好不好
[107:39] 那我們魚油最怕是什麼
[107:41] 可能有汙染的魚啦
[107:42] 重金屬啦
[107:43] 它是來自阿拉斯加海域
[107:45] 完全沒有汙染你
[107:47] 裡面的這個鮭魚油
[107:48] 好不好
[107:49] 叫鮭魚就是富含豐富的DHA
[107:51] 到2028年的12月
[107:53] 那一罐可以吃半年
[107:54] 如果是一個人的話
[107:55] 來今天
[107:56] 這個藥的朋友
[107:57] A23加1
[107:59] 剛剛那個就是像糖果一樣
[108:00] 這個劑量又更高
[108:02] 如果你本身就是
[108:03] 有三高
[108:04] 有性血管疾病
[108:05] 擔心呢
[108:06] 老人家
[108:07] 會旺東旺西可能會失智啊
[108:09] 忘記什麼東西的
[108:10] 魚油
[108:11] 趕快給他買起來趕快吃起來
[108:13] 好不好
[108:13] 來今天藥的朋友
[108:15] 今天這一罐
[108:16] 直接可以吃半年
[108:17] 我們也不用兩千塊
[108:19] 不用
[108:19] 也不用一千五百塊
[108:21] 不用
[108:21] 來今天藥的朋友
[108:22] 我開一個
[108:23] 組合嫁給大家啦
[108:25] 下期到2028年嘛
[108:26] 你隨便也可以加個兩罐吧
[108:28] 對
[108:28] 或者你今天要跟
[108:29] 隊友一起吃
[108:30] 爸爸媽媽都要吃
[108:31] 好不好
[108:32] 來今天藥的朋友
[108:33] 加一罐給大家
[108:34] 九百九十塊
[108:36] 九百九十塊
[108:38] 加兩罐以上的
[108:39] 好不好
[108:40] 加兩罐以上的
[108:41] 給大家八百九十九塊
[108:44] 八九九
[108:46] 八九九吃半年哦
[108:47] 人家一天多少錢
[108:49] 八九九吃半年
[108:50] 一百八十天
[108:51] 一天細咳啦
[108:52] 細咳
[108:53] 五咳都變啦
[108:55] 好便宜對不對
[108:56] 超便宜
[108:57] 超便宜
[108:58] 是
[108:58] 日本好像是限定
[108:59] 大咖還是小咖
[109:01] 阿拉斯加鮭魚牛
[109:03] 我打開給你們看一下
[109:04] 啊他鎖住了
[109:06] 要拆
[109:07] 我覺得不很大咖啦
[109:08] 因為我覺得不會讓海膠一把
[109:10] 我已經拆了
[109:11] 那就把他打開吧
[109:13] 回家吃了
[109:13] 對
[109:14] 然後要不要看一下
[109:15] 風模啊
[109:15] 然後打開好了
[109:16] 沒關係
[109:18] 上我的
[109:18] 來打開
[109:19] 好
[109:20] 等一下打開
[109:21] 拆給你看
[109:21] 你們有心得嗎
[109:22] 小朋友的魚哦
[109:23] 我看不到欸
[109:23] 等一下
[109:24] 小朋友的魚哦
[109:25] 什麼時候吃比較好
[109:26] 所有的魚哦
[109:27] 全部都是餐後吃
[109:28] 但因為它是糖果
[109:29] 好不好
[109:30] 剛剛那個魚
[109:31] 魚
[109:31] 它是軟糖
[109:32] 所以你什麼時候吃都可以
[109:34] 你就記得吃就好了
[109:35] 吃五碗啊
[109:36] 回來掛血啊
[109:37] 真的保健食品既行的
[109:39] 你們就是擺在餐頭吃
[109:40] 然後大人一天吃三顆
[109:42] 好不好
[109:43] 你看
[109:44] 來我剛講魚油
[109:45] 你要看它的油體通不通透
[109:47] 乾不乾淨
[109:48] 齁
[109:49] 然後你們看一下
[109:50] 它完全齁
[109:51] 不會太大
[109:51] 不會
[109:52] 一個椰紅龍
[109:53] 不會
[109:53] 椰住紅龍的
[109:54] 拿三顆來我現在吃
[109:56] 哈哈哈
[109:57] 都開個不吃白不吃
[109:58] 不吃白不吃
[109:59] 剛好吃他餐後
[110:00] 沒有啊
[110:00] 我剛好今天還沒吃魚哦
[110:01] 好不好
[110:03] 直接吃
[110:04] 吃看看
[110:05] 野生阿拉斯加龜魚油
[110:07] Omega330
[110:08] 然後我跟你講
[110:09] 他也沒有魚油的味道
[110:13] 他也沒有魚油的味道
[110:15] 不會有
[110:16] 不會沒有那個
[110:17] 完全沒有肉的味道
[110:18] 沒有腥味
[110:19] 好不好
[110:20] 來
[110:20] 大人我就建議大家可以直接吃
[110:22] 如果你本身
[110:23] 想要預防心血管疾病
[110:25] 預防失智
[110:26] 齁
[110:26] 然後減少身體慢心發炎
[110:28] 增加自己的智慧
[110:29] 好不好
[110:30] 覺得自己年紀越大
[110:31] 越會忘東忘西的
[110:32] 魚油吃起來
[110:33] 好不好
[110:34] 三高問題
[110:34] 魚又吃起來
[110:36] 啊這個是日本好是多限定的
[110:38] 就看大家
[110:39] 你們如果有需要的
[110:40] 價錢今天開到一天
[110:42] 不用五塊錢
[110:43] 一罐吃半年哦
[110:45] 一罐吃半年
[110:45] 然後還開兩罐的組合價給你們哦
[110:48] 還開兩塊等於
[110:49] 你兩罐就可以吃一年了
[110:51] 那你加四罐
[110:52] 你跟隊友都可以吃
[110:53] 一起吃一年哦
[110:54] 好來自我們阿拉斯加
[110:55] 齁
[110:56] 我們最乾淨最純俊的海運
[110:58] 然後提取了這個鮭魚
[110:59] 新鮮鮭魚出來的這個魚油
[111:01] Omega3
[111:02] 來要自己加了
[111:03] 自己加起來
[111:04] 超級滑
[111:04] 啊那個還沒泡好是不是
[111:07] 好他們一直問
[111:08] 湯到底是多想要這個
[111:10] 松露
[111:11] 來高級的
[111:12] 松露玉米
[111:14] 松露濃湯來了
[111:16] 好不好松露濃湯來了
[111:18] 齁來我就跟他講
[111:20] 那個這個
[111:21] 呃日本哦很多這種
[111:23] 熱水直接沖泡
[111:25] 然後你就會有一碗
[111:26] 很高級的湯
[111:27] 齁
[111:28] 但其實這種湯
[111:29] 你去高級西餐廳
[111:30] 很多都是用這種
[111:32] 沖泡式的湯給你哦
[111:34] 來它是松露奶油濃湯
[111:36] 然後裡面是這樣一袋一袋
[111:38] 裡面有10袋
[111:39] 好不好裡面有10袋
[111:41] 齁那為什麼我們這次
[111:42] 準備很多這種湯
[111:43] 因為再來要換季了好不好
[111:45] 你到秋冬
[111:45] 像晚上回家
[111:47] 那個冷冷的時候
[111:48] 就要來個暖暖的湯
[111:50] 暖味我跟你們講
[111:51] 我跟你們
[111:52] 喝好喝超好喝耶
[111:53] 你喝完濃湯都好好喝
[111:55] 我跟你們講
[111:56] 我跟你講
[111:58] 你們看
[111:58] 好好喝上面有很多很多的料
[112:00] 而且是不是有蘑菇啊
[112:02] 對裡面有蘑菇
[112:03] 有什麼有蘑菇
[112:04] 好好喝哦這個
[112:04] 還有我們那個黑松露的碎液
[112:06] 好好喝
[112:07] 還有我們的那個生奶油
[112:08] 牛油蘑菇
[112:09] 還有什麼
[112:10] 蘑菇蘑菇
[112:11] 一塊一塊飄的
[112:12] 不是沒泡開哦
[112:14] 它是洋蔥切丁在裡面
[112:17] 然後先
[112:18] 裡面有洋蔥
[112:19] 哇
[112:20] 也太好喝了
[112:21] 很像現煮的
[112:23] 這比
[112:23] 這比去
[112:24] 對這比去的某些
[112:25] 某些那個
[112:26] 對
[112:27] 某些某些那個
[112:28] 你去那個
[112:29] 這個餐廳這個煮的
[112:30] 還好喝我覺得
[112:32] 桃花料理
[112:33] 哇這超好喝耶
[112:34] 欸很濃郁耶
[112:37] 好想拿一個
[112:38] 拿一塊麵包來沾哦
[112:40] 很好喝
[112:40] 很好喝耶
[112:41] 這喝完了嗎
[112:42] 松露呢素食黑喝嘛
[112:44] 我待會幫你確認哦
[112:45] 等一下幫你們確認一下
[112:46] 好不好
[112:47] 大家知道這個
[112:48] 黑松露奶油濃糖好不好
[112:50] 來
[112:50] 這個呢
[112:51] 總共裡面有10包
[112:52] 然後一樣直接熱水重泡就可以了
[112:54] 你要當早餐啦
[112:55] 或者人家今天叫外送啦
[112:57] 一個便當
[112:58] 但裡面有湯可以配
[112:59] 直接呢
[113:00] 30秒攪一攪
[113:01] 就可以了好不好
[113:02] 對
[113:03] 自己在那種
[113:04] 對
[113:04] 你自己在餐酒館啊
[113:05] 他端上來一碗
[113:06] 五六百塊一碗的
[113:07] 它裡面有
[113:08] 它有奶油
[113:09] 奶油牛油
[113:11] 所以應該是素食不行
[113:12] 對裡面還有雞肉
[113:14] 我們然後
[113:15] 各種啦奶油什麼雞
[113:16] 對素食不行
[113:17] 來
[113:18] 今天一盒
[113:18] 一盒裡面就是10包
[113:20] 要的幫我打A24加1
[113:22] 不行耶
[113:22] 直接給大家
[113:23] 高級的松露濃湯
[113:25] 我好喜歡哦
[113:26] 高級的松露濃湯
[113:28] 來 A24加1
[113:29] 今天抽到抹茶
[113:31] 抽到抹茶我們不是
[113:32] 有賣
[113:33] 你知道我不知道你要抹茶粉
[113:34] 還是茶包
[113:35] 有抹茶的
[113:36] 有茶包
[113:36] 如果你要那個
[113:37] 純粉抹茶粉的話
[113:39] 我們後面幾天
[113:39] 再幫你看看有沒有
[113:40] 對
[113:40] 我們今天中午場的最後
[113:42] 有賣一個100
[113:43] 抹茶綠茶100
[113:44] 一盒原出的茶包
[113:45] 一盒有100包的那個茶包
[113:47] 抹茶茶包
[113:48] 然後呢
[113:49] 是在中午場的最後一標
[113:50] 你也可以去購物車看一下
[113:51] 那大家會用抹茶拿鐵
[113:52] 抹茶拿鐵
[113:53] 那你要抹茶粉
[113:54] 然後過幾天
[113:55] 我們幫你找找看
[113:56] 今天要的朋友
[113:57] 這個松露濃湯的中午
[114:00] 然後再加這個奶油濃湯
[114:01] 很好喝
[114:02] 然後裡面有10袋
[114:04] A24加1
[114:05] 來 今天要的朋友給大家
[114:07] 商場價790
[114:08] 來線上價690塊
[114:09] 690 不行
[114:11] 690塊
[114:12] 這個真的
[114:13] 你去那高級五星米餐廳
[114:14] 才會有的那個湯
[114:15] 對啊
[114:16] 對啊
[114:17] 然後今天才賣你多少
[114:18] 690
[114:19] 一碗松露濃湯69塊
[114:23] 69塊好不好
[114:25] 很好喝
[114:25] 你今天怎麼做
[114:26] 你今天就是
[114:28] 他今天是做那個湯塊的形狀
[114:30] 你就是湯塊加熱水
[114:33] 你就是這麼方便
[114:34] 你可以做出一碗五星級
[114:36] 我真的覺得五星級等級的
[114:38] 他你這樣講
[114:38] 他我覺得都可以
[114:40] 那大家下一次
[114:41] 還會再許願的一款湯品
[114:42] 很好喝
[114:43] 今天要不要A11加1
[114:44] 就像你們來日本
[114:45] 大家都會去拖飯賣雞的玉米湯
[114:47] 十五 十萬 十萬
[114:49] 直接給大家690塊
[114:51] 我跟你講
[114:51] 你真的沒有帶回去
[114:52] 你沒有喝到
[114:53] 你會真的
[114:54] 我替你感到可惜
[114:56] 你要喝
[114:58] 很好喝
[114:59] 很好喝
[115:00] 超級好喝
[115:02] 很好喝
[115:04] 而且如果就是
[115:05] 不是
[115:07] 小放手眼睛發亮你知道嗎
[115:09] 我們在賣你們真的
[115:10] 價格非常的優惠
[115:11] 然後熱水沖泡一下
[115:13] 很好喝
[115:14] 因為你們叫松露是高級食材
[115:16] 沒錯
[115:16] 那怎麼可能用幾十塊
[115:17] 然後就可以喝到一碗松露
[115:19] 松露濃湯
[115:20] 超香
[115:21] 它裡面的洋蔥丁切片
[115:23] 這個真的
[115:24] 然後還有那個
[115:25] 還喝到那個奶油的香氣
[115:27] 而且這很方便
[115:27] 如果你喜歡露營野餐的
[115:29] 對
[115:29] 去露營的
[115:30] 直接帶著
[115:31] 然後就可以分享
[115:32] 跟你那些露營的朋友
[115:34] 一起分享好不好
[115:35] 一起分享
[115:36] 很推薦
[115:36] 這個要的自己加
[115:37] A24加1
[115:39] 再來來
[115:39] 最近好市多什麼最流行
[115:41] 最紅藍莓
[115:42] 藍莓
[115:43] 因為大家現在知道
[115:44] 藍莓的好處很多好不好
[115:46] 藍莓的好處很多
[115:47] 來這個是應該是藍莓脆餅
[115:49] 我幫你們看一下
[115:51] 這個是最新最新的商品
[115:53] 它是藍莓堅果
[115:55] 藍莓堅果的脆餅
[115:56] 好不好
[115:57] 然後呢
[115:57] 一袋裡面有12入
[115:59] 這最新的
[116:00] 它還沒有拆
[116:01] 最新的
[116:02] 對 它是新的
[116:03] 最新的
[116:04] 最新
[116:04] 你們知道嗎
[116:05] 好市多藍莓最近真的很火紅
[116:07] 真的火紅
[116:08] 因為藍莓
[116:09] 富含豐富的花青素
[116:11] 對身體非常非常好
[116:13] 來 我倒出來給你們看
[116:14] 因為這裡面還有堅果
[116:15] 那個小盤子
[116:18] 我去找
[116:20] 來 我先倒出來給你們看一下
[116:22] 來
[116:23] 它裡面
[116:24] 你看啦
[116:25] 很酸對不對
[116:26] 很像
[116:26] 很像我們吃那種
[116:27] 藍莓巧克力的那個
[116:29] 脆脆
[116:30] 那個脆脆的
[116:31] 那種脆脆
[116:32] 它裡面用巧克力蛋白脆脆
[116:34] 裡面有藍莓以外
[116:37] 它有膳食纖維
[116:38] 然後裡面
[116:39] 每一份有4克的膳食纖維
[116:41] 然後還有蛋白脆粒
[116:43] 可以補充蛋白質
[116:45] 然後接下來是酥脆的口感
[116:47] 然後裡面還有白巧克力
[116:49] 好不好
[116:50] 然後接下來是
[116:51] 藍莓酸酸甜甜的味道
[116:54] 很好吃耶 這個
[116:55] 很推耶
[116:57] 所以呢
[116:57] 如果你同時要補充藍莓
[116:59] 同時要補充蛋白質
[117:01] 同時要補充膳食纖維
[117:03] 來
[117:03] 這個是你最好的選擇
[117:05] 很好吃
[117:06] 超好吃
[117:07] 超好吃耶 這很推耶
[117:08] 對
[117:09] 然後一袋有12入
[117:10] 好不好
[117:11] 一袋有12小包
[117:12] 然後一袋有12小包
[117:14] 補充膳食纖維
[117:15] 然後補充蛋白質
[117:16] 然後補充藍莓的各種好處
[117:18] 吃起來就是藍莓巧克力的那個感覺
[117:20] 然後脆脆的
[117:21] 很好吃
[117:22] 蛋花湯今天出過囉
[117:24] 新朋友
[117:24] 新朋友先幫我加入
[117:26] A-N-A
[117:27] 先加入VIP社群
[117:28] 我們中午在好事多的時候
[117:30] 有賣過那個
[117:31] 蛋花湯
[117:32] 你加入我們社群裡面
[117:33] 領取版的工具
[117:34] 然後小幫問一下
[117:35] 蛋花湯會自己
[117:36] 不要小幫手
[117:36] 會傳授那個
[117:37] 勾車連結
[117:38] 對 勾車連結給你
[117:40] 來
[117:40] 這個有喜歡的
[117:42] 等一下幫我打
[117:42] A-25對不對
[117:44] A-25
[117:44] 對
[117:45] 然後這個是最新的
[117:46] 這是好事多最新的新品
[117:48] 好不好
[117:49] 好事多最新的新品
[117:50] 你們今天嘉義的話
[117:51] 裡面會有12包獨立包裝
[117:53] 12袋獨立包裝
[117:55] 然後是我們的512克
[117:57] 512克
[117:58] 然後打開都是這樣的獨立包裝
[117:59] 然後它裡面就是一塊塊的
[118:01] 藍莓
[118:03] 然後綜合堅果在裡面
[118:04] 超級無敵好吃
[118:05] 超級無敵好吃
[118:06] 然後補充蛋白質
[118:07] 補充30纖維
[118:07] 然後是藍莓白巧克力的感覺
[118:08] 藍莓
[118:09] 它是那個
[118:10] 大家為什麼最近很紅
[118:11] 它被稱為超級食物
[118:12] 因為它有花青素
[118:14] 維生素C
[118:15] 維生素K
[118:16] 又有30纖維
[118:17] 然後呢熱量低
[118:19] 然後呢抗氧化的能力極高
[118:21] 好不好
[118:21] 然後可以幫助眼睛好
[118:23] 幫助心血管
[118:24] 各種好處
[118:25] 所以大家現在都是在搶著那個
[118:27] 搶藍莓吃
[118:28] 然後它的效率可以到
[118:29] 2027年的4月
[118:30] 4月
[118:31] 4月哦
[118:31] 這個我自己也要來買
[118:32] 我覺得超好吃
[118:34] 來這個要的A25加1
[118:36] 裡面12小包
[118:37] 你就直接放在包包裡面
[118:38] 隨時來補充
[118:39] 水餐的時候直接補充藍莓
[118:41] 補充30纖維
[118:42] 補充蛋白質
[118:43] 不會很甜
[118:43] 白巧克力
[118:44] 不會膩
[118:45] 好不好
[118:46] 不會膩
[118:46] 我個人是覺得甜度很OK
[118:49] 好不好
[118:49] 我覺得不甜
[118:50] 我覺得不會死甜
[118:52] 它經過裡面
[118:53] 反正就會蓋掉
[118:54] 它會中和掉那個甜度
[118:55] 外面白巧克力的甜度
[118:57] 所以就剛好中和掉剛剛
[118:58] 來
[118:59] 這最新的
[119:00] 這個廠商今天帶我們去
[119:01] 他說哇
[119:02] 哪時候這個新品
[119:03] 之前都沒有看過
[119:04] 就今天剛入倉的
[119:06] 剛入倉
[119:07] 來 A25加1
[119:08] 今天要的朋友
[119:09] 12小包
[119:10] 這種小包這種脆脆
[119:12] 隨便一包49塊
[119:13] 對
[119:14] 12小包
[119:15] 也16700
[119:16] 對16700
[119:17] 來 你們今天要的朋友
[119:19] 今天給大家
[119:20] 上層加609
[119:21] 先讓你加
[119:21] 不要這樣加
[119:22] 上層加609
[119:23] 然後呢
[119:24] 下層加605
[119:25] 加兩包以上的一包
[119:27] 599帶回家
[119:27] 599
[119:29] 我推薦你們
[119:29] 可以加兩包加三包
[119:31] 因為女生怎樣
[119:32] 我們需要補充蛋白質
[119:33] 沒錯
[119:33] 我們需要補充膳食纖維
[119:35] 藍莓的好處又非常多
[119:36] 一致呢
[119:37] 給你
[119:38] 全部多種補充
[119:40] 對 一致補充
[119:42] 多種
[119:43] 讓你就是可以健健康康的
[119:45] 也是一個
[119:45] 營養健康的臨時
[119:47] 費景的等一下
[119:48] 有
[119:49] 我要把他推走了
[119:50] 我要把他推走了
[119:51] 因為他現在真的很紅
[119:52] 對啊 他還看到多檢問
[119:53] 藍莓
[119:54] 我再講一次
[119:55] 藍莓有豐富的花精素
[119:56] 對眼睛也很好
[119:57] 有維生素C
[119:58] 維生素K
[119:59] 抗氧化
