[80:00] 今天現在很單只要499
[83:59] 好不好
[84:00] 哈利波特
[84:01] 裡面有十二代
[84:02] 哈利波特跟他的貓頭鷹
[84:04] 然後還有他裡面
[84:05] 我跟你講他裡面造型很可愛
[84:07] 我們打開給他們看一下
[84:08] 好給你看一下裡面的造型
[84:09] 剛有一個小盤子對不對
[84:11] 看過哈利波特的
[84:12] 不要錯過這一款
[84:13] 現在是我給你們看一下哦
[84:16] 看這個是哈利波特嗎
[84:18] 這是對
[84:18] 這個是哈利波特本人的本人的造型
[84:22] 然後這個是你們知道嗎
[84:24] 他的裡面有信封
[84:26] 信封的那一集
[84:27] 信封
[84:28] 還有我剛才有看到
[84:29] 有哈利波特的他們裡面的分類帽
[84:33] 分類帽也有
[84:34] 我幫你放盤子
[84:35] 你可以放盤子
[84:36] 還有閃電
[84:37] 閃電
[84:38] 哈利波特頭上的閃電
[84:40] 超可愛的
[84:41] 貓頭
[84:41] 萬聖節限定的哦
[84:43] 連名的哈利波特連名款哦
[84:46] 他裡面的造型都是哈利波特裡面
[84:48] 電影裡面會有的
[84:49] 然後校寫到27年的2月
[84:51] 好不好
[84:51] 校寫到27年的2月
[84:52] 裡面有很多各種
[84:53] 除了圖片上面的那個
[84:55] 圖片上面的那個圖案
[84:58] 還有各種各種
[84:59] 哈利波特裡面的不同的造型
[85:02] 來這款的話
[85:03] 今天給大家裡面有幾包
[85:05] 剛好看嗎
[85:05] 12包
[85:06] 12包
[85:07] 900克12包
[85:08] 然後每一個都是不同口味
[85:10] 這軟很單一都知道了
[85:11] 但這個太破的限定的在日本才有
[85:14] 日本限定
[85:14] 日本老師多期間限定
[85:16] 萬聖節期間限定
[85:17] 好不好
[85:18] 來這個要的朋友A18
[85:20] 好不好
[85:21] A18加1
[85:22] A18加1
[85:23] 我這個也是很重哦
[85:24] 好不好
[85:24] A18加1
[85:25] 喜歡哈利波特的
[85:26] 喜歡這個糖果的朋友
[85:28] 12入12入
[85:29] 來今天要的A18加1
[85:31] 好不好
[85:32] 來今天給大家
[85:34] 商城價799
[85:36] 線上價688
[85:38] 688
[85:39] 688
[85:41] 好不好
[85:42] 688哦
[85:43] 12包
[85:43] 12包哦
[85:44] 等於你一包產品多少錢
[85:46] 朋友啊
[85:46] 一包賣57塊
[85:49] 一包產品57塊
[85:50] 一般包裝都買不到了
[85:52] 你知道這個有多一樣
[85:53] 你去那個大阪影城
[85:54] 哈利波特的那個
[85:55] 那個專區
[85:56] 你這一包就要99塊
[85:58] 100都150塊了
[86:00] 還有那個9又3
[86:01] 因為3分之9又4分之3的月台的那個
[86:04] 標誌
[86:04] 看不看得清楚
[86:05] 你很有研究耶
[86:06] 啊我又有
[86:07] 後來我剛剛哈利波特
[86:08] 他是水果卵塘嗎
[86:10] 還是水果卵塘
[86:11] 水果卵塘
[86:11] 哈利波特聯名限定
[86:13] 然後萬聖節期間限定
[86:14] 今天線上很大那朋友
[86:17] 直接一盒只要688
[86:20] 然後平均12包等於一袋不用60塊
[86:23] 好不好
[86:23] 一袋不用60塊
[86:24] 超划算超划算
[86:26] 關鍵字是A18
[86:28] A18 A18
[86:30] 看到人家
[86:31] A18加尼奧的數量
[86:33] 加一只要688等於平均
[86:35] 一包50幾塊可以
[86:36] 50幾塊超便宜
[86:39] 效期可以到我們
[86:39] 2027年的6月
[86:41] 日版這邊限定的
[86:42] 然後呢
[86:43] 親朋友可以先加入
[86:44] 我們的BIP社群
[86:45] 然後再跟著喊單
[86:46] 然後老朋友如果你有想要許願
[86:48] 好市多有什麼商品
[86:49] 也可以幫我們在社群裡面
[86:51] 做許願好不好
[86:52] 來 湯哥我要過標了
[86:54] 再來來
[86:55] 我們今天大家去好市多
[86:56] 都會買襪子
[86:57] 我們今天下午有出那個
[86:59] New Belon的女生的襪子給大家
[87:01] 然後六路
[87:02] 六路開到一雙不用100塊
[87:04] 所以如果你要New Belon的
[87:06] 女生的襪子也可以
[87:07] 然後今天晚上
[87:07] 我們幫你們準備了這個CK
[87:09] 卡文克萊CK的女生的襪子
[87:12] 好不好 女生的短襪
[87:13] 然後這個短襪它有
[87:15] 我看一雙兩雙三
[87:17] 五雙好不好
[87:18] 而且是大家
[87:19] 女生的短襪是23到25公分
[87:21] 然後是大家最基礎的
[87:24] 基本設計
[87:25] 有黑色兩雙
[87:26] 黑色兩雙
[87:29] 灰色兩雙
[87:30] 白色一雙
[87:31] 然後上面的地方
[87:33] 就寫我們的CK
[87:34] 卡文克萊的英文字好不好
[87:36] 來 如果你要這個CK
[87:39] 卡文克萊的襪子
[87:41] 女生的襪子
[87:41] 等一下幫我打A19
[87:44] A19
[87:44] 那這樣吧
[87:45] CK的襪子
[87:46] 你到專櫃去買一雙
[87:48] 絕對不是
[87:49] 390 490還不見得買得到
[87:50] 買不到 100分是買不到
[87:52] 一雙搞不好叫590塊
[87:53] 好不好
[87:54] 來今天要的朋友
[87:56] 專櫃一雙可能賣你490塊
[87:58] 來 今天A19加1
[88:00] 今天我直接
[88:01] 五雙賣你
[88:02] 490塊
[88:03] 490塊
[88:05] 來 你可以專櫃買一雙
[88:06] 我這邊買五雙
[88:07] 買一送四
[88:08] 我們今天超瘋狂
[88:09] 莓果齊鴨子
[88:10] 是我們等一下要出的那個
[88:12] 還是我們今天出過的
[88:12] 莓果齊鴨子
[88:13] 我是中午那個
[88:14] 中午出過的
[88:15] 莓果齊鴨子
[88:16] 就是那個果凍
[88:18] 西凍
[88:19] 那在中午那一場
[88:20] 你去購物車找也可以
[88:22] 好不好
[88:23] 或者你在社群裡面
[88:24] 詢問小幫手傳送購物車的網址給你
[88:26] 好不好
[88:27] 然後你要直播回放
[88:28] 他中午我在好市多現場賣鍋了
[88:30] 好不好
[88:31] 來
[88:31] 這個
[88:32] A19加1
[88:34] 490
[88:35] 你在專櫃一雙490
[88:37] 今天在這邊買五雙等於賣
[88:39] 一雙送四雙的概念
[88:41] 今天給大家490塊
[88:43] 這個等一下會出
[88:43] 你們先等等
[88:44] 這個是別人賣
[88:45] 別人直播組已經賣光光的貨
[88:47] 我們
[88:48] 這個我已經拿去泡了
[88:49] 要等一下
[88:51] 好
[88:51] 他叫隔夜宴賣
[88:53] 隔夜賣
[88:53] 等一下要不要我們今天要超火紅
[88:55] 給我風味
[88:56] 超火紅
[88:56] 等一下要不要我們結帳
[88:57] 我們已經拿去泡了
[88:58] 要等一下等一下
[88:59] 來
[89:00] A19要的趕快加
[89:02] 好不好
[89:02] 這個
[89:02] CK的襪子
[89:04] 兩雙黑色兩雙灰色
[89:06] 一雙白色
[89:07] 最經典的最基礎款的
[89:09] 今天給大家一整組骨磚
[89:11] 490塊
[89:13] 490塊
[89:14] 超划算
[89:15] 超划算
[89:16] 來
[89:17] 你們要自己加了
[89:18] 再來
[89:19] 伊蘭來
[89:20] 來日本一定要吃什麼
[89:23] 伊蘭拉麵
[89:25] 好不好
[89:25] 伊蘭拉麵
[89:26] 伊蘭平常
[89:27] 在台灣吃都要抽號碼牌
[89:30] 要等好幾個小時
[89:31] 直接買回家
[89:32] 在家裡煮
[89:33] 最好吃
[89:34] 而且它是
[89:35] 日本好吃多鮮定的
[89:36] 它是
[89:37] 伊蘭特級雙拼
[89:39] 豚骨拉麵
[89:40] 好不好
[89:41] 一種裡面
[89:42] 可以吃到兩種拉麵
[89:44] 台灣只能吃到上面這種
[89:46] 下面這種方碗
[89:47] 要來到日本這邊
[89:49] 才會有的
[89:50] 它是那種斧汁
[89:52] 限定的有不同的醬汁
[89:54] 這個看到的樣子
[89:55] 我們就想吃伊蘭
[89:56] 超級無敵好吃
[89:57] 今天你們加一的話
[89:59] 裡面會有兩種
[90:00] 兩種都有
[90:01] 一個是總共只有五碗
[90:04] 上面的一般的是三碗
[90:05] 下面的斧汁的那個是兩碗
[90:07] 特級醬汁是兩碗
[90:08] 然後下面是從
[90:10] 日本這邊才可以吃得到的
[90:12] 吃得到限定的拉麵
[90:14] 伊蘭我原本很喜歡吃伊蘭
[90:16] 我女兒也超愛
[90:17] 二哥也超愛的
[90:18] 好
[90:19] 這不要說我們的A20
[90:20] 伊蘭我們需要多加嗎
[90:21] 它就是很簡單
[90:22] 你們今天把水準備好後
[90:24] 把麵條放下去煮完後
[90:26] 再把調味包加進去
[90:27] 你就可以做出
[90:29] 在家裡做出
[90:30] 超級無敵好吃的
[90:31] 伊蘭拉麵
[90:32] 伊蘭拉麵
[90:34] 然後今天
[90:34] 我們今天出五碗
[90:35] 五碗的給大家
[90:36] 五碗的給大家
[90:37] 今天怎麼開那班娘
[90:39] 來 今天你就照著
[90:40] 你就照著你
[90:41] 你那個
[90:42] 你本來準備得要開的
[90:43] 今天
[90:44] 直接給大家
[90:45] 你沒有幾碗啊
[90:46] 兩碗吧
[90:47] 五碗
[90:48] 你們照伊蘭拉麵
[90:49] 一碗都要多少錢
[90:51] 四百塊
[90:52] 你今天在台灣吃到三四百塊
[90:54] 三四百塊
[90:55] 來
[90:55] 如果你今天五碗的話
[90:56] 就要兩千多塊了
[90:57] 對
[90:57] 我們今天不用兩千多塊
[90:59] 你今天自己在家裡煮
[91:00] 我們一千塊都不要
[91:02] 今天小幫手
[91:04] 三層架
[91:04] 幫我開
[91:06] 799
[91:07] 線上架
[91:10] 什麼啦
[91:10] 你看開多少五碗
[91:12] 來
[91:12] 我們今天沒有限時過對不對
[91:14] 不要 我們限時一下
[91:16] 限時
[91:17] 七九九
[91:18] 七九九五碗
[91:19] 你有沒有搞錯
[91:20] 一碗
[91:21] 一碗
[91:21] 你剛剛已經799了
[91:23] 兩分鐘這樣子
[91:23] 你一碗才一百五十九
[91:25] 兩分鐘這樣子
[91:26] 你一般拉麵
[91:27] 你都吃不到了
[91:28] 你還伊蘭耶
[91:28] 這樣子
[91:29] 我要你點頭
[91:29] 不好
[91:30] 點頭
[91:31] 不要
[91:31] 快點
[91:32] 好啦
[91:33] 反而說好了
[91:34] 來
[91:34] 兩分鐘
[91:36] 就是上層架跟這個直播
[91:37] 再說七九九
[91:38] 來 兩分鐘
[91:39] 到處計時兩分鐘
[91:41] 給大家六九九
[91:42] 五碗拉麵帶回去
[91:44] 五碗拉麵帶回去
[91:45] 一碗等於是一百三十九塊
[91:46] 一碗三百一百三十九塊
[91:48] 它裡面是有五碗
[91:49] 基本的原碗拉麵
[91:50] 跟我們伊蘭的
[91:51] 普知的它的正方形的
[91:53] 那個限定的拉麵
[91:55] 直接帶回去
[91:56] 今天五碗帶回去
[91:57] 五碗帶回去
[91:58] 這真的超級無理方便
[91:59] 今天如果今天是加班
[92:00] 下班想吃宵夜什麼的
[92:02] 自己看後補一下
[92:03] 三分鐘搞定的東西
[92:04] 三分鐘搞定的東西
[92:06] 這真的是不可能
[92:07] 你亂開
[92:08] 你現在開六九九五碗
[92:09] 你一碗一百三十九塊
[92:11] 你知道你在那個Uber
[92:12] 沒有名的拉麵
[92:14] 隨便一碗到兩三百塊
[92:15] 都叫不到
[92:16] 沒錯
[92:16] 我們今天把伊蘭
[92:18] 台灣最愛的
[92:19] 伊蘭拉麵
[92:20] 你這樣不要只買加一
[92:21] 我建議你們多加
[92:22] 它真的瘋了
[92:22] 才可以這個價錢
[92:23] 它就是雙拼拉麵
[92:24] 就是有兩種
[92:25] 一個是有三碗
[92:26] 是上面這個原碗的
[92:27] 現在
[92:28] 然後有兩碗是方碗的
[92:29] 方碗就是很多
[92:30] 到我自己來
[92:30] 日本也會去找方碗的
[92:32] 是因為它真的是
[92:32] 只有限定的地區
[92:33] 限定的店家
[92:34] 才會有這一款拉麵
[92:35] 那今天把它抓在這個
[92:36] 限定的
[92:37] 好多限定的
[92:38] 這個特規包裝裡面
[92:39] 直接給大家雙拼
[92:40] 帶回家
[92:41] 上面有三碗
[92:41] 前面兩碗
[92:42] 今天最後剩下一分鐘
[92:43] 倒數一分鐘
[92:45] 倒數
[92:45] 加一給大家六九
[92:46] 你今天六九九
[92:47] 剛才你今天現在這兩分鐘
[92:49] 你加二加三加四
[92:50] 全部都是六九九了
[92:51] 你自己要多腿
[92:52] 你自己腿
[92:53] 因為你加一的話
[92:54] 就五碗而已
[92:54] 你加一度是四個人的話
[92:57] 一合就不見了
[92:58] 來
[92:58] 今天自己加起來
[92:59] 自己加起來
[93:00] 自己加起來囉
[93:00] 很多人都加二加三勒
[93:02] 很懂家很懂家
[93:03] 你們自己加起來
[93:04] 自己加起來
[93:04] 那等一下
[93:05] 兩分鐘結束後
[93:06] 就是七九九
[93:07] 七九九也很便宜
[93:09] 也很便宜啦
[93:09] 但是我真的覺得說
[93:11] 感謝有下有在看我們直播的人
[93:13] 現在給大家一個
[93:14] 現實相安家
[93:15] 兩分鐘最後三十秒
[93:16] 最後三十秒
[93:18] 沒有肉啊
[93:18] 裡面就是你要自己加肉
[93:20] 它裡面沒有肉
[93:21] 一籃啊
[93:21] 裡面沒有叉燒
[93:22] 你要自己加叉燒
[93:24] 你加一個叉燒
[93:25] 你就可以等於
[93:25] 你在伊蘭拉麵
[93:26] 你們吃四百塊的
[93:27] 對
[93:27] 你可以自己
[93:28] 我跟你講
[93:28] 現在7有沒有那種
[93:30] 溫泉蛋啊
[93:31] 然後那種湯清蛋啊
[93:33] 你都可以接一家一去
[93:34] 然後自己去加一些水
[93:35] 剩這裡加一碗白飯
[93:36] 你在伊蘭拉麵
[93:37] 一碗白飯六十
[93:38] 你可以自己加白飯
[93:39] 然後碳一顆
[93:40] 真的 你們自己加一碳
[93:41] 因為我們那天是伊蘭
[93:42] 我再加一碗白飯
[93:43] 哇 六十塊好不好
[93:44] 真的
[93:45] 你就自己在家裡
[93:46] 馬上即時就可以
[93:47] 因為不是每個地方
[93:48] 台灣也不是每個縣市
[93:49] 都有伊蘭拉麵嘛
[93:50] 對
[93:50] 所以你想要即時
[93:52] 在台北跟台中有
[93:53] 所以你想要即時可以體驗
[93:55] 欸 我去日本吃過伊蘭
[93:56] 然後我好懷念那個味道
[93:58] 直接在家裡住
[93:59] 這個下面這個
[94:00] 那個方碗的台灣美喔
[94:02] 對 台灣美喔
[94:03] 好不好
[94:03] 最後十秒
[94:04] 太誇張的價錢了
[94:06] 自己加起來囉
[94:06] 自己加起來囉
[94:07] 太誇張的價錢了
[94:09] 好不好
[94:09] 然後
[94:10] 來 再來我們先來一個
[94:12] 我看一下喔
[94:12] 來 狗迪法好不好
[94:14] 來 狗迪法巧克力
[94:16] 我先跟你們講
[94:16] 我們中午已經有出過
[94:18] 兩款對不對
[94:19] 中午有出過一個巧克力
[94:21] 就是那種巧克力
[94:23] 那叫什麼
[94:24] 小包裝 翻塊狀的
[94:25] 三種口味的巧克力
[94:27] 然後我記得
[94:28] 有參加你們幾百塊
[94:29] 然後這是狗迪法的家族品牌
[94:31] 大家知道狗迪法
[94:32] 高端巧克力第一品牌
[94:33] 如果你今天去他們門市
[94:35] 或者在美穗店買
[94:36] 一盒巧克力就是一兩千塊
[94:38] 當然在好事多買
[94:40] 日本好事多買狗迪法
[94:41] 是每個人進去都直接少貨
[94:43] 為什麼
[94:44] 因為超便宜 超划算
[94:45] 然後你今天呢
[94:46] 送禮自己吃都很棒
[94:48] 因為呢
[94:49] 價差非常大
[94:51] 好不好 價差非常大
[94:52] 如果你現在送給朋友
[94:53] 朋友也會非常開心好不好
[94:56] 然後我跟你們看一下
[94:56] 這個裡面有三種巧克力
[94:59] 好不好
[95:00] 有三種形狀的巧克力
[95:02] 三種形狀的巧克力
[95:03] 然後一整盒我看一下喔
[95:05] 一整盒是
[95:07] 是怎麼看
[95:08] 吉卡
[95:11] 吉卡
[95:12] 什麼
[95:12] 卡路
[95:13] 不是吉卡啦
[95:14] 吉克啦 吉克啦
[95:15] 那他怎麼了
[95:15] 裡面360克
[95:17] 360克
[95:18] 它裡面有
[95:18] 它裡面有
[95:19] 總共有幾顆
[95:21] 我看一下
[95:21] 好像沒寫對不對
[95:23] 對 沒有特別寫
[95:25] 然後但是它裡面是有
[95:26] 三種巧克力
[95:27] 三種巧克力
[95:29] 有牛奶巧克力
[95:31] 牛奶整鍋巧克力
[95:33] 反正有三種不同的巧克力
[95:34] 三種巧克力
[95:35] 牛奶焦糖
[95:36] 牛奶整鍋
[95:36] 牛奶巧克力這樣子
[95:38] 你們可以自己加回去
[95:39] 然後裡面總共是360克
[95:41] 360克
[95:42] 然後總共有這樣三種不同的
[95:44] 有貝克形狀的
[95:45] 然後用我們的它的
[95:46] 經典紋路
[95:47] 還有它的logo
[95:47] 標誌性logo的
[95:48] 總共是三種
[95:49] 那它是以克數去寄的
[95:51] 所以總共是360克
[95:53] 360克的
[95:54] 對 它沒有寫裡面有幾顆喔
[95:55] 裡面有寫裡面就是以克數
[95:57] 以克數去寄的
[95:58] 來
[95:58] 今天
[95:59] 它的效期可以到我們的
[96:01] 2027年的7月
[96:02] 可以到2027年7月
[96:03] 來
[96:04] 把牛奶直接開價嗎
[96:05] 好 直接開價囉
[96:06] 來 你們都知道啦
[96:07] 這個價錢
[96:08] 這個300多克的巧克力
[96:10] 今天在
[96:11] 台灣的一兩千塊嘛
[96:12] 大概兩千塊
[96:13] 今天不用一千塊給大家
[96:15] 今年又不用一千塊了
[96:17] A21直接給大家
[96:20] 699
[96:21] 給它
[96:22] 我們上次可以開七九九
[96:24] 現上架開六九九
[96:25] 現上架六九九耶
[96:26] 你六九九買Godiva
[96:27] 不可思議的價錢
[96:29] 不可能有這個價錢
[96:30] 你們自己加保護機
[96:31] Godiva你去百貨公司專櫃
[96:32] 就是一千多塊
[96:34] 原本睡電也是一兩千塊
[96:36] 今天呢
[96:37] 在我們今天
[96:38] 我們的Godiva總共有出三標
[96:40] 我覺得你們三款都可以買
[96:41] 好不好
[96:42] 現上架只要六九九
[96:44] 關鍵就是A21加一
[96:46] A21加一
[96:48] 來
[96:48] 這個送禮給朋友啊
[96:50] 自己吃啊
[96:50] 朋友生日什麼的都超棒
[96:52] 因為外面一盒就是一兩千塊
[96:54] 你今天呢
[96:55] 在我們直播買
[96:56] 只要現上架六九九
[96:58] 收到的人都會很開心
[96:59] 好不好
[97:00] 然後呢
[97:00] 你也可以拿來當夜單交換禮物
[97:02] 什麼的都沒有問題
[97:03] 好不好 都沒有問題
[97:04] 然後我手上的效期
[97:06] 至少都到二零二零二七年去了
[97:08] 對不對
[97:09] 我看一下哦
[97:12] 信要起
[97:13] 我這個手上都到二零二七年的七月去了
[97:16] 好
[97:16] 那我們再重新採買可能會更久
[97:18] 或者是二零二七年的七月
[97:20] 來A21加一
[97:22] 今天現上架單的朋友六九九
[97:24] 我今天你們可以多加幾盒好不好
[97:26] 因為呢
[97:26] 好市多大賣場量飯店
[97:28] 你就是怎樣買越多越划算
[97:30] 好不好
[97:31] 買越多越划算
[97:33] 跟外面的價差越大
[97:34] 買越多越划算
[97:36] 今天只要六九九好不好
[97:39] 直接六九九可以吃到最高等級的
[97:41] 狗狄伐天花板的巧克力好不好
[97:43] 哎呀一碗甜麻就是巧克力好不好
[97:46] 就是狗狄伐巧克力
[97:47] 如果你沒有嘗試過
[97:48] 你可以買回去試試看
[97:50] 好
[97:50] 因為之前呢
[97:51] 我女兒的同學的媽媽
[97:53] 每次
[97:54] 很感謝我女兒就是
[97:56] 都會陪他女兒一起玩
[97:57] 每次都送我狗狄伐巧克力
[97:59] 我說很不好意思
[98:00] 然後呢
[98:01] 因為一盒巧克力這麼貴
[98:03] 然後真的是很好吃
[98:04] 我女兒我沒有
[98:05] 我這樣出賣他好像不行
[98:07] 我是說他沒有留意
[98:08] 哇一整盒一整碗都給我吃掉
[98:10] 好不好
[98:10] 一整巧克力是幾%的
[98:12] 我幫你看一下
[98:13] 二哥你要不要來查一下
[98:14] 他沒有寫
[98:15] 他沒有特別寫好不好
[98:17] 他沒有特別寫自己啪的
[98:19] 齁
[98:19] 真的你根本你們可以自己
[98:20] 因為他不是黑巧克力
[98:22] 黑巧克力才能學習
[98:22] 他裡面有加那個
[98:24] 其實他都是牛奶巧克力
[98:25] 裡面有加
[98:26] 教他巧克力牛奶巧克力
[98:27] 真過巧克力
[98:28] 因為他都是牛奶巧克力
[98:30] 他不是純巧克力啦
[98:31] 他不會寫啪數
[98:32] 他不是那種
[98:32] 不是純巧克力
[98:33] 他就是牛奶巧克力
[98:35] 反正你如果知道國際法的
[98:36] 你知道國際法的
[98:38] 你再自己買好不好
[98:39] 你們這百貨公司都有
[98:41] 然後免稅店都有
[98:42] 就是
[98:43] 一盒都要一兩千塊的
[98:44] 齁
[98:45] 就是只有在好市多
[98:46] 有辦法賣你們這種幾百塊的價錢
[98:48] 沒錯啊
[98:49] 好魚喔
[98:51] 因為魚有小朋友的跟大人的
[98:53] 所以
[98:54] 對對對小朋友的我剛放在哪裡
[98:56] 小朋友剛有一盒
[98:57] 我剛有問他能不能開
[98:59] 他現在在用
[99:00] 那個可以開嗎
[99:00] 那個小朋友的
[99:01] 可以開
[99:02] 可以
[99:02] 哦他已經開了
[99:04] 來再來
[99:05] 我
[99:06] 再來我們先給大家
[99:08] 齁好市多
[99:09] 一樣日本好市多
[99:09] 非常熱賣的魚喔
[99:11] 那我先跟大家講
[99:12] 這個呢是小朋友吃的
[99:14] DHA的大人要吃也可以
[99:16] 適合小朋友吃的
[99:18] 我們DHA的一樣是做成糖果狀的
[99:20] 然後這個是大家知道
[99:21] 好市多的保健食品
[99:23] 非常非常火紅
[99:24] 大家都用炒貨的
[99:25] 這個是大人吃的
[99:27] 來剛一包幾顆是什麼東西
[99:29] 哪個東西一包幾顆
[99:30] 剛才巧克力360克
[99:32] 360克
[99:33] 你有360克
[99:34] 你們知道狗地方在買
[99:35] 那我就不用介紹太多了
[99:36] 知道的人都知道
[99:37] 這個今天的價錢都是一般半價的
[99:40] 早就已經搶光了
[99:41] 所以你要顧及說什麼
[99:43] 甜不甜
[99:44] 就是去櫃上問一下
[99:45] 你就直接看他要不要切給你試吃
[99:48] 因為我也沒辦法
[99:49] 就是每個人甜度
[99:51] 覺得甜不甜每個人的口感的
[99:53] 每個主觀意識不同
[99:54] 所以這是我們賣的是
[99:55] 賣狗地方這個品牌的巧克力
[99:57] 好那大家自己評估
[99:59] 來真的很厲害哦
